章,スライド番号,台本
0,1,"高校の計算、公式は覚えた。でも模試で初見問題が出ると手が止まる。それは計算の「構造」が見えていないからだ。この講座では、AIを壁打ち相手にして構造を見抜き、自分専用の解法マニュアルを作る方法を身につける。中学版を見ていない人は、先にそっちから見てほしい。"
0,2,"中学版では「なぜ？」を聞く力を手に入れた。今回はその先。自分で仮説を立てて、AIに検証させて、計算の「型」として体系化する。最後まで見れば、その力が手に入る。では始めよう。"
1,3,"この章で身につけるのは、高校計算分野に特化した3つのプロンプトパターンだ。「とりあえず展開する」「公式に当てはめる」という場当たり的な処理から脱却し、AIを壁打ち相手にして計算の構造を見抜く対話ができるようになる。なぜこれが大事か。中学版では「なぜ？」を聞くことがスタートだった。高校版ではそこからさらに一歩進んで、自分の仮説を検証する段階に入る。聞き方のレベルが上がれば、AIから引き出せる情報の質もまるで変わる。この章を終える頃には、解法検証、構造発見、型抽出の3つのプロンプトを状況に応じて使い分けられるようになっている。安心してほしい、パターンは3つだけだ。順番に見ていこう。"
1,4,"このスライドで伝えたいのは、22個以上の公式を暗記しても初見問題は解けないということだ。理由はシンプル。「公式を知っている」ことと「どの場面でどう使うか判断できる」ことはまったく別の能力だからだ。たとえば青チャートのコンパス3までの例題は解けても、模試になると手が止まる。そういう経験がある人は多いはず。パターンを暗記しただけでは、初見問題にぶつかったときに判断基準がない。必要なのは「どのパターンを使うか判断する基準」、つまり計算の「構造」を見抜く力だ。「自分もそこで詰まっている」と感じた人、それは才能の問題じゃない。やり方の問題だ。では、そのやり方をどう変えるのか。次のスライドで見ていこう。"
1,5,"結論から言う。中学版の「教えてもらう」対話から、高校版では「自分の思考を検証する」対話へ進化する。なぜこの進化が必要か。高校計算分野では「なぜそうなるか」だけでなく、「この問題はどう攻めるべきか」「この変形にはどんな構造があるか」を判断する力が求められるからだ。AIとの対話を「受け身」から「能動」に切り替えることで、自分の思考力そのものが鍛えられる。たとえば因数分解で、自分なりに「xについて整理してみよう」と方針を立ててからAIに検証させるのと、最初から「この因数分解の解き方を教えて」と聞くのとでは、返ってくる答えの価値がまるで違う。最初は不安かもしれない。でも「間違った仮説を立てていい」んだ。大事なのは自分で考えてからぶつけること。では、具体的な3つのプロンプトを次のスライドで整理しよう。"
1,6,"ここで伝えるのは、構造を見抜くための3種のプロンプトだ。なぜパターン化するか。毎回「どう聞こう」と迷っていたら、肝心の数学の理解に集中できないからだ。3つのパターンはこうだ。1つ目は「解法検証プロンプト」。自分の仮説をAIにぶつけて、方針のメリット・デメリットだけを聞く。答えは教えてもらわない。2つ目は「構造発見プロンプト」。力技で解けるけど時間がかかる問題に対して、スマートな工夫の視点を引き出す。特に強力なのが「私は何につまずいている？」という聞き方だ。たったこの一言で、AIは自分の思考の穴をピンポイントで突いてくれる。3つ目は「型抽出プロンプト」。解き終わった問題の解法を一般化して、自分専用マニュアルにする。ゲームに例えるなら、解法検証はボス戦前の装備チェック、構造発見は弱点のヒント探し、型抽出はドロップアイテムを武器庫に登録する作業だ。この3つを覚えれば十分。では、1つ目から具体的なプロンプト例を見ていこう。"
1,7,"1つ目の解法検証プロンプトを具体的に見てみよう。たとえば複雑な因数分解の問題があったとする。プロンプトはこうだ。「この式、まずはxについて整理して、最低次の文字に着目するのがいいと思うんだけど、この方針で合ってる？解答は言わずに、方針のメリット・デメリットだけ教えて。」ポイントは2つ。1つは「自分の仮説を先に出す」こと。もう1つは「解答は言わずに」とブロックすること。この2つがあることで、AIは答えを出さずに方針の評価だけを返してくれる。自分で考える力を奪わない仕掛けだ。最初は「仮説を立てるのが難しい」と感じるかもしれない。でも間違っていてもいい。大事なのは自分で考えてからぶつけること。それだけで対話の質が劇的に変わる。では次のプロンプト、構造発見を見てみよう。"
1,8,"2つ目の構造発見プロンプトだ。ここで覚えておいてほしい最強の聞き方がある。「私は何につまずいている？」。たったこれだけだ。なぜこれが強力か。AIに「教えて」と聞くと、関係ない情報まで含めて長々と説明してくる。でも「何につまずいている？」と聞けば、AIは自分の思考の穴にフォーカスして、ピンポイントで指摘してくれる。たとえば「x²−6x+9を因数分解したいんだけど、和と差の積ではうまくいかない。私は何につまずいている？」と聞くと、AIは「あなたが見落としているのは項の数の違いだ」と核心を突いてくる。この聞き方はあらゆる計算分野で使える。因数分解だけじゃなく、数列でも、絶対値でも、三角関数でも。「どこでつまずいているのか」を言語化してもらうだけで、一気に視界が開ける。では最後の型抽出を見てみよう。"
1,9,"3つ目、型抽出プロンプト。これは問題を解き終わった後に使う。絶対値を含む方程式を解き終わったとする。プロンプトはこうだ。「今解いた絶対値方程式の問題、場合分けのパターンを一般化して『自分専用の解法マニュアル』としてまとめて。他の問題にも応用できるように箇条書きにして。」AIは「①境界値を求める ②数直線を区間に分割 ③各区間で絶対値を外す ④解を求めて条件と照合」のような手順を返してくれる。これが「型」だ。この型をストックしていけば、初見問題にも対応できる自分だけの武器になる。「解いて終わり」じゃなくて「解いてから型にする」。この一手間が、暗記との決定的な差を生む。では3つのプロンプトを組み合わせた壁打ちの流れを見てみよう。"
1,10,"ここで整理するのは、3種のプロンプトを組み合わせた壁打ちのサイクルだ。流れはこう。まず自分で方針を立てる。解法検証プロンプトで方針を確かめる。解いてみる。詰まったら構造発見プロンプトで工夫の視点をもらう。解き終わったら型抽出プロンプトで一般化する。このサイクルを1問やるだけで、「暗記」ではなく「構造の理解」で計算を攻略する感覚がつかめる。なぜこれが強力か。1問の中で3つのプロンプトが全部機能するからだ。検証→発見→抽出を回すたびに、自分の中に「型」が蓄積されていく。たとえば因数分解で1回このサイクルを回せば、次の因数分解で「あ、前と同じ構造だ」と気づけるようになる。ここまでが座学だ。次の章では、実際のAI画面でこのサイクルを回しているところを見せる。"
1,11,"この章のまとめだ。高校計算分野の構造を見抜くための3つのプロンプトパターンを整理した。解法検証で方針を確かめる。構造発見で工夫の視点を引き出す。特に「私は何につまずいている？」の一言は、あらゆる計算分野で使える最強の聞き方だ。そして型抽出で解法を一般化する。この章では因数分解を例に挙げたが、これは高校計算の中でも最も基礎的な題材だ。この考え方を土台にして、数列、絶対値、三角関数と、どんどん深く聞いていけばいい。自分のペースでレベルを上げていける。それが自走だ。次の章では、今のプロンプトパターンを実際のAI画面で使っているところを見せる。リアルなやり取りを見て、自分でもやれるイメージをつかんでほしい。では実演に進もう。"
2,12,"【空白チャプター】制作者が実際のAI操作画面を録画した映像を後から差し込む。タイトルと尺の目安のみ設定。台本・スライド内容は生成しない。尺目安は10〜20分。"
3,13,"この章で身につけるのは、NotebookLMを使って「自分専用の数学コーチ」を構築する方法だ。なぜこれが必要か。前の章で実際にAIと壁打ちしながら計算の構造を見抜く流れを見た。因数分解の方針を検証して、構造の違いを見抜いて、判断フローチャートを「型」としてまとめた。あの一連のやり取りで、自分だけの解法マニュアルが1つできた。でも問題がある。あのやり取り、Geminiのチャット履歴に埋もれている。テスト前に「あのとき作った型、どこだっけ」と探し回るのは非効率だ。せっかく作った知識を一箇所に集めて、いつでも引き出せる仕組みが必要になる。安心してほしい、NotebookLMを使えばそれが簡単にできる。順番に見ていこう。"
3,14,"このスライドで伝えたいのは、せっかく抽出した「型」も、チャット履歴に埋もれたら使い物にならないということだ。なぜか。人間の脳の記憶力には限界があるからだ。1週間前にAIと壁打ちして作った因数分解の型。テスト前に思い出そうとしても、Geminiの履歴をスクロールして探すのは非効率だし、そもそも見つからない可能性もある。たとえば料理に例えると、試行錯誤して最高のレシピを開発したのに、そのメモを引き出しのどこかに放り込んで場所を忘れるようなものだ。脳の限界を補い、抽出した型を必要なときに一瞬で引き出せる「最強の外部脳」が必要になる。それがNotebookLMだ。自分が入れた資料だけをベースに答えてくれるから、「自分専用の数学コーチ」として機能する。では、NotebookLMとは何かを次のスライドで整理しよう。"
3,15,"NotebookLMは、Googleが提供している無料のAIツールだ。最大の特徴は「自分がアップロードした資料だけをベースに答える」こと。なぜこれが重要か。GeminiやChatGPTはインターネット上のあらゆる情報を元に回答するから、関係ない情報が混ざったり、存在しない公式を平気で作り出したりすることがある。NotebookLMにはそれがない。自分の教材の範囲でしか答えないから、回答の信頼性が高い。たとえば「因数分解の判断基準を教えて」と聞いたとき、NotebookLMは自分がアップした解法マニュアルの中身だけを見て答える。インターネット上の関係ない情報には引っ張られない。これが「自分専用の数学コーチ」として機能する理由だ。では具体的な使い方を見ていこう。"
3,16,"計算学習でのNotebookLMの使い方は3つだ。1つ目は、型抽出プロンプトでまとめた解法マニュアルをNotebookLMに蓄積すること。因数分解の型、数列の型、絶対値の型。これが積み上がると、自分だけの「解法パターン集」が完成する。2つ目は、学校のプリントや自分のノートをPDFにしてアップロードすること。3つ目は、テスト前にNotebookLMに「この範囲の型で、間違えやすいポイントを整理して」と聞くことだ。自分の教材ベースだから、的外れな答えが返ってこない。この3つを回すだけで、暗記に頼らない計算学習の環境が整う。「難しそう」と感じるかもしれないが、操作はとてもシンプルだ。では具体的な手順を見てみよう。"
