章,スライド番号,スライドタイトル,スライド用テキスト,ミニ台本
0,1,講座名,"先生に教材を持たせる（NotebookLM編）
自分の教材だけで答える専属家庭教師を設計する",この講座では、中高生のあなたが、NotebookLMを使って「自分の教材だけで答えてくれるAI」を手元に作る方法を学ぶ。対象は、AIを使って勉強環境を自分で構築したい中高生。全編座学で、概念と設計思想だけに絞って話す。見終わる頃には、汎用AIの「範囲外知識が混ざってくる問題」から解放されて、自分のノート・教科書・プリントを読み込んだAIを相棒として使える状態になる。さらにGemsとの役割分担も理解し、継続的に学習環境を育てていくマインドセットが手に入る。
0,2,「AIの答え、教科書と違う問題」が起きている,"中高生あるある:
・中学の質問に高校の公式で返答
・歴史で「もっともらしい嘘」
・英単語のニュアンスで誤情報",数学の宿題が分からなくてAIに聞いたら、習ってないはずの判別式で答えが返ってきた。歴史のテストで聞いたら、教科書に載ってない学説が混ざった。英単語のニュアンスを聞いたら、もっともらしい嘘を自信満々で返された。これ、中高生あるあるだ。生成AIを使ったことがある中高生は8割を超えている。でもほとんどが「答えを聞くだけ」の使い方で、答えが自分の教材と合ってるかは誰も教えてくれない。教育委員会の37%も、AIのハルシネーション──もっともらしい嘘──を学習上の課題だと指摘している。
0,3,解決策は「先生に教材を持たせる」,"この動画で得られること:
・自分の教材だけで答えるAIの作り方
・目的別の質問の型
・Gemsとの連携と運用サイクル",解決策がある。それが「先生に教材を持たせる」という発想。自分の教科書、自分のノート、自分のプリント──それだけを読んで答えてくれるAIを、自分の手元に作る。この動画を見終わるころ、あなたは「自分専用の家庭教師」の設計思想を手に入れている。さらに、どう質問すればその力を最大限引き出せるか、他のAIとどう組み合わせれば最強になるか、作った環境をどう育てるかまで、全部揃う。それじゃあ、始めよう。
1,4,章タイトルスライド,"なんでも知ってる天才と、教科書だけ読む助手の違い
NotebookLMの本質「ソース制御型AI」を理解する",この章で学ぶのは、NotebookLMという道具が「何者なのか」。機能の羅列では頭に残らない。だから先に、一つの比喩でNotebookLMの本質をつかむ。ここを飛ばすとただのツール紹介で終わるし、押さえればこのあとの章が全部つながる。3つのキーワード──ソース、RAG、グラウンディング──を使って、汎用AIとの決定的な違いを理解する。
1,5,普通のAIは範囲外の知識を勝手に混ぜてくる,"普通のAI＝世界中の知識を持つ天才
→ 範囲外の知識も混入
→ 学年・教科書の範囲を空気で読めない",Ch0で確認した通り、普通のAIに質問すると、自分の教材に載ってない知識が混ざってくる。なぜか。普通のAIは「世界中の図書館を暗記している天才」だからだ。何でも答えられるのが強みだけど、あなたの学年や、今使っている教科書の範囲を空気で読んでくれるわけじゃない。結果、範囲外の解法で解説されたり、出典不明の情報が返ってきたりする。じゃあどうすればいい？答えを出す前に「この教材だけを見て答えて」と指定できたら最高だ。それを実現しているのがNotebookLM。
1,6,NotebookLMは渡した資料だけを読む助手,"NotebookLM＝渡された数冊を暗記した助手
・世界中の知識ではなく机の上の資料
・範囲外の混入が物理的に起きない",NotebookLMは、「あなたが渡した数冊の本だけを完璧に暗記して、机の上に置いている助手」と考えると直感的に分かる。記憶に頼らず、目の前に置かれた資料だけを信じるようにプログラムされている。これを「ソース制御型AI」と呼ぶ。ソースとは、AIに渡す資料のこと。PDF、Googleドキュメント、Webページ、画像、動画、音声──全部ソースになる。この仕組みがあるから、範囲外の知識の混入が物理的に起きない。
1,7,3つのキーワードで仕組みが見える,"キーワード:
・ソース（渡す資料）
・RAG（検索→生成の2ステップ）
・グラウンディング（引用元提示）",NotebookLMの本質を捉える3つのキーワードを押さえよう。1つ目、ソース。AIに渡す資料のこと。2つ目、RAG（ラグ）。Retrieval-Augmented Generation──直訳すると「検索で強化された生成」。NotebookLMが答えを作る仕組みの名前だ。3つ目、グラウンディング。回答に「どの資料のどこに書いてあるか」を明示する仕組み。この3つが揃うと、汎用AIとは別物のAIになる。
1,8,RAGは「検索→生成」の2ステップで動く,"ステップ1: 渡された資料から関連箇所を検索
ステップ2: 見つけた情報だけで回答を生成",NotebookLMが答えを出す流れは2ステップ。ステップ1、検索。質問が来たら、まず渡された資料の中から関連する箇所を探す。ステップ2、生成。見つけた情報だけを使って、分かりやすい言葉で答えを作る。普通のAIは「答えっぽいもの」を想像で作るから、時々実在しない本を引用したり、習ってない公式を使ったりする。NotebookLMはまず資料を検索してから答える。だから渡した資料に書いてないことは答えようがない。これがRAGの肝だ。
1,9,グラウンディングで「検証できる答え」になる,"回答に引用マーク付き
→ クリックで元資料にジャンプ
→ ファクトチェックが超速くなる",さらに強力なのがグラウンディング。NotebookLMの回答には引用マークが付く。クリックすると、元の資料の該当箇所にジャンプできる。つまり「AIがそう言ったから正しい」じゃなくて、「この教科書のこのページに書いてある」と自分で検証できる。これはファクトチェックの習慣化に直結する。AIが何を言ったかより、自分の教材のどこに書いてあるかが最終的な根拠になる。これでAIの答えを鵜呑みにする時代は終わる。
1,10,範囲外の混入が消え、検証できる答えが残る,"ここまでのまとめ:
・NotebookLM＝ソース制御型AI
・RAGで範囲外が混入しない
・グラウンディングで検証可能",ここまでで、NotebookLMが「渡した資料だけを読んで答えてくれるAI」だと理解できたはずだ。普通のAIが天才でも時々記憶違いをするのに対して、NotebookLMは記憶に頼らず目の前の資料を開いて答える助手。RAGで範囲外が混入せず、グラウンディングで検証もできる。これで「AIの答えが信頼できるか」の不安から解放される。次の疑問は「じゃあ何を渡せばいい？」。ここで素材の選び方が勝負になる。次の章で見ていこう。
2,11,章タイトルスライド,"何を渡すかで、先生の実力が決まる
素材選定の判断基準を手に入れる",この章では、NotebookLMに渡す素材を「何を・どう整理して」渡すかの判断基準を身につける。渡した資料がそのままAIの知識になるから、ここが一番差がつくポイント。良い素材を選べば優秀な家庭教師になるし、ノイズを混ぜると精度が落ちる。素材の優先順位、ノートブックの分割設計、3ステップの選定プロセス、NG例──これを押さえれば、素材選定で失敗しない。
2,12,NotebookLMは渡した資料に全てを賭けている,"・良い素材→優秀な家庭教師
・関係ない資料混入→精度が落ちる
・50ソース上限でも「全部入れる」は悪手",NotebookLMは渡された資料に全てを賭けている。良い資料を渡せば優秀な家庭教師になるし、関係ない資料を混ぜるとAIの精度が落ちる。たとえば「数学のテスト対策」と言いながら英語のノートまで入れると、AIがどれを参照すべきか迷って混乱する。無料プランでも1つのノートブックに50ソースまで入るが、「入るから全部入れる」は悪手だ。大事なのは「何を、どれだけ、どう整理して渡すか」という設計者の視点。ここが決まれば、NotebookLMは強力な学習パートナーになる。
2,13,素材の優先順位は3段階で決まる,"優先順位:
1. 自分のノート＋先生のプリント（一次情報）
2. 教科書・参考書（範囲限定の補助）
3. 避ける: 関係ない資料（ノイズ）",素材選定の優先順位は3段階だ。最優先は、自分の授業ノートと先生のプリント。これが「自分だけの一次情報」。先生の板書には先生が何を重視しているかが反映されている。自分のノートには自分がつまずいたポイントのメモがある。これ以上あなたの学習に寄り添った資料は存在しない。次点が、教科書と参考書のPDF。これは範囲を限定するための補助。そして避けるべきが、関係ない資料の混入。他教科や他単元を混ぜるとノイズになる。
2,14,ノートブックは目的別に分割するのが基本設計,"悪い例: 1つに全教科を詰め込む
良い例: 「期末テスト用」「数学第3章用」など目的別に分割",もう一つ重要なのが、ノートブックの分割という設計思想。1つのノートブックに全教科を詰め込むんじゃなくて、「期末テスト用」「数学第3章用」のように目的別に分ける。こうするとAIが迷わない。目的に直結した資料だけが入っている状態だから、回答の精度も上がる。1教科1ノートブックではなく、1目的1ノートブックが正解。これがNotebookLM運用の基本設計だ。
2,15,素材選定は3ステップで失敗しない,"ステップ1: 目的を言語化（例: 数学期末対策）
ステップ2: 目的に直結する一次情報を投入
ステップ3: 範囲限定のため教科書を補助で追加",実際の素材選定を3ステップに分解する。ステップ1、目的の言語化。たとえば「数学の期末テスト対策」と決める。この時点で、入れるべき資料の輪郭が決まる。ステップ2、一次情報の投入。その目的に直結する自分のノートと先生のプリントを最優先で入れる。スマホで撮影すればOCRで読み取れるから、清書はいらない。ステップ3、範囲限定のための補助資料。教科書や参考書の該当単元だけをPDF化して足す。これで土台は完成する。
2,16,やりがちな失敗は「何でも入れる」と「問題集だけ」,"NG例:
・「あとで使うかも」で関係ない資料を入れる
・答えのない問題集だけを入れる（解説不可）",失敗例を2つ紹介する。失敗例1、「何でも入れる病」。「あとで使うかも」で関係ない資料を入れると、AIの回答にノイズが混ざる。ノートブックの役割が曖昧になって、AIがどの資料を信じていいか迷う。失敗例2、「問題集だけ入れる」。答えのない問題集だけを渡しても、AIは解説を作れない。問題集と解説プリントは必ずセットで入れること。この2つのNGを踏まなければ、素材選定は9割成功する。
2,17,素材が決まれば残るは「どう質問するか」,"ここまでのまとめ:
・一次情報最優先
・ノートブックは目的別に分割
・次は質問の型の設計",何を渡すかの判断基準が手に入った。授業ノート＋先生のプリントが最強の一次情報、教科書は範囲限定の補助、関係ない資料はノイズになる。そしてノートブックは目的別に分割する。素材が揃えば、NotebookLMは「あなた専用の教材を丸暗記した助手」に変わる。でもここで満足しちゃいけない。素材を揃えただけではまだ半分。残り半分は「どう質問するか」だ。次の章で、NotebookLMを最大限に活かす質問の型を設計する。
3,18,章タイトルスライド,"「教えて」で終わらせない聞き方を手に入れる
目的別の3つの質問の型を使い分ける",この章で身につけるのは、NotebookLMから最高の学びを引き出す「質問の型」。「教えて」だけで終わると、ただの検索と変わらない。NotebookLMの「ソース制御」という強みを活かすには、目的に合わせた聞き方が必要だ。理解確認型・テスト生成型・比較整理型の3つの型を、使いどころと一緒に手に入れる。
3,19,「教えて」だけではフェラーリでコンビニに行くのと同じ,"NG: ただ「教えて」と聞く
→ ただの検索と変わらない
→ ソース制御の強みを活かせていない",素材は揃った。最初にあなたがNotebookLMに打つのは、どんな質問？「二次関数を教えて」──多くの人がやってしまう質問だ。間違いじゃない。でもそれだと普通の検索とあまり変わらない。せっかく自分の教材を読ませているのに、「教えて」で終わらせるのはもったいない。例えるなら、フェラーリで近所のコンビニに行くようなもの。本当はもっと遠くに速く行ける。だから、目的に合わせた質問の型を使い分ける。それが次だ。
3,20,型①理解確認型で分からない箇所を深掘り,"使い方:
「このノートの5ページ目を中学生でも分かるように要約して」
→ 自分のレベルで解き直してもらう",型①、理解確認型。分からない箇所を自分のレベルで解き直してもらう型。たとえば「このノートの5ページ目を、中学生でも分かるように要約して」と聞く。NotebookLMはあなたのノートを読んで、その範囲の中で噛み砕いた説明を作る。あるいは「この章の範囲で、私が間違えやすいポイントを3つ挙げて」と聞くと、自分では気づけない弱点が見えてくる。授業で分かったつもりになった箇所を深掘りする時に強い。
3,21,型②テスト生成型で自分専用の問題集を作る,"使い方:
・チャット: 「穴埋め問題を5問作って」
・Studio機能: ワンクリックでクイズ・フラッシュカード生成",型②、テスト生成型。自分の教材から問題を作らせる型。これには2系統ある。1つ目、チャットで指示する方法。「読み込んだ資料の中から、私が間違えやすそうな穴埋め問題を5問作って」と聞けば、自分専用の予想問題集が手に入る。2つ目、Studio機能を使う方法。NotebookLMの画面右側にStudioというパネルがあって、ワンクリックでクイズやフラッシュカードを生成できる。「Got it / Missed it」で進捗も記録される。チャット型は自由度、Studio型は速度で使い分けよう。
3,22,型③比較整理型で複数資料の違いを整理,"使い方:
「Aの参考書の解き方と、私のノートの解き方の違いを説明して」
→ 2つの視点が一目で整理される",型③、比較整理型。複数の資料の違いを明らかにする型。「Aの参考書の解き方と、私のノートの解き方の違いを説明して」と聞くと、2つの視点が整理される。参考書とノートで解き方が違う時や、歴史で「鎌倉幕府と室町幕府の違いがごっちゃ」みたいな時、「この2つの違いを表にして」と頼めば一発だ。複数資料を横断で見るのは、教材が整理されているNotebookLMだからこそできる聞き方。
3,23,3つの型は使いどころで選ぶ,"使いどころ:
・理解確認型: 授業の分からなかった箇所
・テスト生成型: テスト前日の総仕上げ
・比較整理型: 参考書とノートで違う時",3つの型をいつ使うか整理する。理解確認型は授業で分からなかった箇所を深掘りする時。テスト生成型はテスト前日の総仕上げ。自分の教材そのものから予想問題が生まれるから、市販の問題集と違って完全に自分の範囲に合う。比較整理型は、参考書とノートで解き方が違う時。「参考書は公式Aで解いてるけど、先生は公式Bで解いてる。何が違う？」と聞けば、両方の背景が見える。場面で選ぶだけで効果が変わる。
3,24,「ソースに基づいて」＋引用マーク確認で精度が上がる,"精度を上げるコツ:
・「必ず資料内の記述に基づいて答えて」と明示
・答えが返ったら引用マークをクリックして元資料を検証",精度を上げる2つのコツを渡す。1つ目、「ソースに基づいて」を明示する。え、NotebookLMって元から資料だけで答えるんじゃないの？と思うかもしれない。その通りだ。ただ現実はもう少し複雑で、Studio機能の要約や抽象的な質問では、たまに一般論が混ざることがある。だから保険として「必ず資料内の記述に基づいて答えて」と一言足す。コストゼロで精度が一段上がる。2つ目、答えが返ってきたら引用マークをクリックする習慣。「なるほど、先生のプリントのここに書いてあるのか」と元資料で確認する。このファクトチェックの往復が本当の理解を生む。AIを入り口にして自分の教材をしゃぶり尽くす。面倒に感じるかもしれないが、これをやる人とやらない人で、3ヶ月後の学習定着度に圧倒的な差が出る。
3,25,3つの型は手に入った。でも人格は別のツールで,"ここまでのまとめ:
・3つの型で多角的に使える
・「ソースに基づいて」で精度向上
・次: 人格設定はGemsに任せる",このスライドで伝えたいのは、Ch3で3つの型は手に入ったが、人格設定はNotebookLMではなく別のツールに任せるべきだということだ。なぜ別のツールが必要か。理由は、NotebookLMは教材を読ませるのは完璧だけど、「先生の人格」や「教え方のルール」を細かく設定するのは苦手だからだ。「優しく教えて」「ヒントだけで答えは言わないで」みたいな複雑な指示は、毎回質問に書き添えるのはしんどい。できれば最初に一度「こう教えて」とルールを決めて、あとは勝手にそのルールで動いてほしい。その役割を担うのが、Gemsという別のツール。NotebookLMの弱点を補うのがGems。ここから先、その組み合わせ方を見ていこう。ここまで来れば、あとはもう一歩だ。
4,26,章タイトルスライド,"NotebookLMとGemsで最強の学習環境を設計する
役割分担とハイブリッド運用",この章では、NotebookLMの弱点である「人格・教え方の設定」をGemsで補い、ハイブリッド運用する設計思想を学ぶ。NotebookLMに教材の知識を、Gemsに先生の人格を担当させる。この分業が単体利用の限界を超える。無料プランの制限と、その代替案も押さえる。
4,27,NotebookLMは人格設定と教え方ルールが苦手,"NotebookLMの弱点:
・キャラ設定の固定
・「ヒントだけ」等の複雑な指示
→ 質問ごとに打つのはしんどい",NotebookLMは教材の理解は得意だが、「どう教えるか」を自分でコントロールするのは苦手だ。「答えを直接教えないでヒントだけ出して」「関西弁で教えて」「毎回褒めて終わって」みたいな指示を質問のたびに打つのは、しんどい。できれば最初に一度「こう教えて」とルールを決めて、あとは勝手にそのルールで動いてほしい。この「先生の人格と教え方のルールを固定する」役割を担うのがGemsだ。
4,28,Gemsは先生の人格を作る機能（本体は無料）,"Gemsとは:
・Geminiで「専門のエージェント」を作るカスタマイズ機能
・プロンプト1回設定すればキャラを固定
・カスタムGem作成は2025年2月以降 無料プランで利用可能",このスライドで伝えたいのは、GemsはGeminiの中で「自分専用の先生の人格」を作れる機能で、カスタムGem作成は無料プランでも使えるということだ。なぜこれが強力か。理由は、一度プロンプトで設定すれば、あとは話しかけるだけで同じキャラが返してくれるからだ。Gemsは、Geminiの中で「あなたはこういう性格で、こういうルールで話してください」という事前設定を細かく作り込めるカスタマイズ機能。たとえば「ソクラテス式で問いかける家庭教師」「スパルタで励ましてくる鬼コーチ」「中学生に優しく例え話で教える先生」──そんなペルソナを一度設定すれば、毎回指示しなくても同じ品質で応答してくれる。ポイントは、このカスタムGem作成機能自体は2025年2月以降、無料プランでも使えるようになっていること。まずGems本体は無料で使える、と押さえてほしい。次は、この2つをどう役割分担させるかを見ていこう。
