章,スライド番号,台本
0,1,AIに勉強を聞いても、答えがズレて困った経験はないか。本講座では、NotebookLMを使って、自分の教材だけを知っている専属家庭教師AIを自分で組み立てる設計思想を届ける。画面操作の実演は行わない。なぜそうするのか、何を渡すのか、その判断軸にフォーカスする。見終わる頃には、汎用AIとソース限定AIの違いが腹落ちし、自分の科目を一つ選んでノートを集めたくなっているはずだ。
1,2,まずは、多くの人がAIに対して感じているモヤモヤの正体を言葉にする。この章を通じて、AIが悪いのではなく、選び方がズレていただけ、という視点転換を起こす。
1,3,ちょっと思い出してほしい。数学の問題をAIに投げたら、授業で習っていない解き方で説明された経験。英単語を調べたら、教科書にない文法で例文を出された経験。歴史の用語を聞いたら、試験範囲外の時代まで語り始めた経験。AIは賢いはずなのに、なぜか「そのまま使えない答え」が返ってくる。この違和感、実はAIが悪いわけじゃない。
1,4,汎用AI、つまりChatGPTやGeminiは、世界中の本・論文・Webの情報を全部まとめて暗記している。あなたが持っている教科書のページも、大学レベルの解法も、全部ひとまとめに「知識」として持っている。だから聞けば何でも答える。ただ、どこから答えを引っ張るかはAIの気まぐれだ。つまりあなたは、自分の学習範囲を知らないAIに質問していた、ということ。
1,5,これは「聞き方が悪い」でも「AIが賢くない」でもない。道具の選び方そのものがズレていた、という話だ。欲しいのは、世界中の知識を知っているAIじゃない。あなたの教材の範囲だけを、完璧に知っているAIだ。この視点に切り替わると、今日から触れるNotebookLMが、別世界の道具に見えてくる。
2,6,汎用AIとは仕組みが違う。NotebookLMの本質を、たった一つの例え話で腹落ちさせる。
2,7,まず、汎用AIを例えよう。Gemini や ChatGPT は、世界中の図書館を丸ごと暗記している天才だ。何を聞いても、どこかの本に書いてあった答えを返してくれる。頼もしい。ただし、どの本から答えを出すかは、選びきれない。結果、自分の教材と違う本から答えが来る可能性が常にある。
2,8,一方、NotebookLMはまったく別物だ。あなたが渡した数冊の本だけを、完璧に暗記して机の上に置いている助手。机の上の本のことなら、どんな細かい話でも完璧に答える。ただし、机に置いていない本の話は、一切しない。「資料にはありません」と答える。これがNotebookLMの仕様だ。
2,9,これは欠点じゃない。むしろ最大の強みだ。AIの困った性質に「ハルシネーション」という言葉がある。もっともらしい嘘をつく現象のことだ。NotebookLMは、答えの材料がソース内に限定されているので、教材と違う解き方が返ってくる事故が、構造的に起きにくい。ソース限定の仕様が、そのまま信頼性になっている。
2,10,しかも、答えの横には「この部分は、渡した資料のここから来ました」という引用スニペットが出る。出典が見えるということは、自分で答えの裏取りができる、ということだ。AIが言ったことを鵜呑みにする必要がない。教材だけを知っているAIは、こういう仕組みで成立する。
3,11,ここから本題。NotebookLMの使いこなしは、操作ではなく、何を渡すかで決まる。優先順位と、NotebookLM×Gemsの役割分担を押さえる。
3,12,NotebookLMがソース限定のAIだと分かった。ただし、仕組みを知っただけでは学習は変わらない。本当の問いは、じゃあ机の上に何を置くのか。助手は、渡した本のプロになる。渡す本の質が、そのまま助手の賢さだ。ソース選びがすべて、というのはこういう意味になる。
3,13,優先順位はシンプルだ。最優先は自分の授業ノートとプリント。次点が教科書と学校指定の参考書。補助として、信頼できる範囲内の解説。そしてNGなのが、関係ないPDFや雑学、古い版の資料。この順序を守るほど、答えの精度が上がる。次のスライドから、一つずつ理由を見ていく。
3,14,最優先は、自分の授業ノートとプリント。これが最強の一次情報になる。先生の板書メモ、自分がつまずいた箇所の書き込み。そこには、あなたが今学んでいる解き方・順序・用語のクセが全部入っている。この一次情報を持たせるAIは、世界に一つしかない。それを作れる立場にいるのは、あなただけだ。
3,15,次点は、教科書と学校指定の参考書のPDF。これは学習範囲を限定するためのものだ。教材と違う解法が混ざらないよう、範囲を明確にする役割。学校で指定された教材に絞ることで、答えが試験の出題範囲と一致する。PDF化や画像化をしてまとめて登録するのがおすすめだ。
3,16,逆にNGなのが、ネットで拾った関係ないPDFや、古い版の資料、雑学系の読み物。これらを入れると、助手は混乱する。答えがぼやける。多ければ多いほど賢くなる、は間違いだ。関係ない本を机に積み上げないこと。余計なソースを入れない、これがノイズ対策になる。
3,17,ここでNotebookLMの限界も正直に話す。教材の理解は完璧でも、「優しく教えて」「一緒に考えて導いて」みたいな、教え方の人格・ルールは作り込めない。ここはNotebookLMの守備範囲の外側だ。では、人格はどこで設計するのか。
3,18,答えはGemsだ。GemsはGeminiプラットフォームのカスタム機能で、先生の性格・話し方・教え方のクセを設計する側を担当する。NotebookLMは教材を持たせる側。Gemsは人格を持たせる側。役割は、はっきり別だ。この棲み分けが分かると、ツールの全体像がクリアになる。
3,19,教材だけ持ったAIは、答えは正確でも教え方が無機質。人格だけ持ったAIは、話し方は温かくても内容がズレる。両輪が噛み合って、初めて自分専用の先生が完成する。本講座で押さえてほしいのは、教材を持たせる側の判断軸だ。Gems側は姉妹講座で扱う。ここでは、何を渡すかで、先生の質が決まる。これだけ覚えてほしい。
4,20,最後に、このAIを育てていくという視点を渡す。日々の学習記録の価値が根本から変わる話をする。
4,21,ソースの選び方と、NotebookLM×Gemsの役割分担まで掴めた。これで設計図は揃った。ここで最後に、もう一つの視点を渡す。このAI、作って終わりじゃない。新しい単元に入ったら、そのノートを追加。テストが終わったら、不要なソースを整理。学期が変われば、ソースごと入れ替える。一度セットしたら固定ではなく、学習と一緒に育てていくのが本質だ。
4,22,ここに気づくと、日々の学習の意味が変わる。ノートを書く行為、プリントを整理する行為、まとめを作る行為。これまで「勉強の副産物」だったものが、全部、未来の自分専用AIの頭脳になる素材だ。つまり、自分の学習記録が、そのままAIの知識になる。一つだけ覚えて帰ってほしい。整理された学習記録を持っている人ほど、AI学習の恩恵が大きい時代が来た。これ、めちゃくちゃ強いことだと思わないか。
4,23,今日から始められることはシンプルだ。自分の科目を一つ選ぶ。手元のノートとプリントを集める。それを NotebookLM に渡してみる。始まりは、これだけでいい。いきなり完璧を目指さなくていい。一歩を踏み出すことで、この講座で話した全部が腹落ちする。
4,24,教材を持たせる設計は、今日で完成だ。次に進むべきは、どう教えてくれる先生かを自分で設計する番。姉妹講座『Gems編』で、人格の設計思想を手に入れてほしい。NotebookLMとGemsの両輪が揃ったとき、あなた専属の先生が立ち上がる。一緒に組み立てていこう。
4,25,いってらっしゃい。
