操作内容,台本
画面には事前に開いた空のスプレッドシート（kikaku_実践_講座03_AsIsToBe、A1セル選択済み）が表示されている状態。操作はまだしない。,ここからは実践に入っていきます。前回までにAs-Is/To-Be、ロジックツリー、5Whyという3つのフレームワークを学んでいただきましたね。これを実際のケースで使い倒していきます。
そのまま、画面を見せたまま話し続ける。,知っているだけでは使えるようにはなりません。手を動かして初めて自分の武器になります。今日は架空の企業のケースを題材に、私が実際に画面を操作するところを見ていただきます。
そのまま、画面を見せたまま話し続ける。,ゴールは、構造化された問題リストを完成させることです。根拠データ付きで、次の講座のインプットとしてそのまま使えるレベルのものを作ります。流れは4ステップ。As-Is/To-Beでギャップを定義して、ロジックツリーを作って、Claudeで補完して、最後に問題リストに統合する。それでは始めていきます。
A1セルがすでに選択されているのを確認する（まだ入力はしない）。,まずStep1、As-Is/To-Beでギャップを数字で定義します。私はこういう分析を始めるとき、必ずまず数字を置くところから入ります。感覚で議論しても話が噛み合わないので、共通言語としての数字を最初に置く、ということですね。
A1に『指標』、B1に『As-Is（今期）』、C1に『To-Be（前年同期）』、D1に『ギャップ』と一言一句そのまま入力する。各セル入力後にTabキーで右に移動する。,ヘッダから作っていきます。指標、As-Is、To-Be、ギャップ、の4列ですね。ここでみなさんに1つ質問です。To-Beってどうやって決めるか、迷ったことはありませんか？
そのまま話し続ける。手は止めたままでよい。,私もここは最初すごく悩みました。理想を高く置きすぎると絵空事になりますし、低く置くと現状追認になってしまいます。今日のおすすめは、前年同期の実績を使うやり方です。一度実現できていた水準なので、説得力があります。これを覚えておいてください。
A2に『成約率』、B2に『10%』、C2に『25%』、D2に『▲15pt』と入力する。,では数字を入れていきます。1行目は成約率。今期が10%、前年同期が25%です。ギャップはマイナス15ポイント。半分以下に落ちていますね。
"A3に『月間成約件数』、B3に『8件』、C3に『20件』、D3に『▲12件』と入力する。A4に『月間売上』、B4に『1,840万円』、C4に『5,000万円』、D4に『▲3,160万円』と入力する。","続けて成約件数と売上です。件数は8件と20件で12件のギャップ。売上は1,840万円と5,000万円。差額は3,160万円、率にして約63%の減少です。だいぶ大きい数字ですね。"
D2〜D4セルを範囲選択し、右クリック→セルの書式設定→赤色フォントに変更する。,ギャップの列を赤字にしておきましょう。こういうひと手間で、見た瞬間の伝わり方が変わります。経営層に見せる資料では特に効きますよ。
作成された表全体（A1:D4）を3秒間静止して映す。,はい、表ができました。これがStep1のアウトプットです。たったこれだけ？と思うかもしれませんが、この表があるかないかで、このあとの議論の質がまったく変わります。みなさんも自分の業務で、何か課題を分析するときは、まずこの表から作ってみてください。Step1はこれで完了です。
タブ③『draw.io』に切り替える。左のシェイプ一覧から『Rectangle』を画面中央上部にドラッグして配置し、ダブルクリックで『成約率低下の原因』と入力する。,では次、Step2に進みましょう。ロジックツリーを作っていきます。ツールはdraw.ioを使いますが、紙でもMiroでも、なんでも大丈夫です。まず頂点に『成約率低下の原因』と置きます。これがツリーの一番上です。
頂点ボックスから下に4本の線を引き、それぞれの先に矩形を配置して、左から『営業プロセス』『提案内容』『外部環境』『組織・体制』と入力する。,次に大分類を考えます。私はいつも、営業プロセス、提案内容、外部環境、組織体制、の4つから入ることが多いです。みなさんの業務でも、自分なりの『最初に置く4つ』を持っておくと、毎回ゼロから考えなくて済みます。
そのまま話し続ける。,ここで大事なことを1つお伝えします。この先、枝を伸ばしていきますが、完璧を目指さないでください。データで説明できる枝から先に伸ばします。説明できないところは後でClaudeに補ってもらいます。この順番でいきましょう。
『営業プロセス』から下に2本伸ばし、『初回商談→提案の転換率が22pt低下』『提案→成約の転換率が23pt低下』と入力する。,営業プロセスから始めましょう。プロセスデータを見ると、転換率が落ちているのは2か所。初回商談から提案で22ポイント、提案から成約で23ポイント。両方とも20ポイント以上落ちています。これは『提案フェーズ以降に問題が集中している』というサインですね。
『提案内容』から下に2本伸ばし、『提案が課題に合わない（失注理由36%）』『導入効果が不明確（失注理由20%）』と入力する。,次に提案内容。失注理由のデータがあったので、それを使います。提案が課題に合わないが36%、導入効果が不明確が20%。合わせて半分以上が、提案そのものの問題ですね。
『外部環境』から1本伸ばし、『競合製品が安い（失注理由18%）』と入力する。『組織・体制』から1本伸ばし、『ヒアリングの型がない（推測）』と入力する。,外部環境は競合の価格を入れます。組織・体制は……ここ、ちょっと悩むところですよね。データで直接は説明できません。ただ、新人が増えたという情報があります。なので推測として『ヒアリングの型がない』を入れて、カッコで（推測）と書いておきます。後で見返したときに、これは検証が必要だと分かるようにしておくのがコツです。
作成したツリー全体を3秒間静止して映す。Ctrl+S（Mac: Cmd+S）でローカル保存する。ファイル名は『tree_self.drawio』。,はい、自作版のツリーができました。先ほどお伝えした通り完璧ではありません。でも、これでいいんです。これを保存したら、いよいよClaudeの出番です。
タブ①『Claude』に切り替える。新規チャット画面の入力欄をクリックする。,Step3に進みます。ここが今日の動画で一番大事なところなので、よく見ておいてください。Claudeに同じ分析をさせます。ただし、ここで絶対にやってはいけないことが1つあります。
そのまま話し続ける。,それは『自分のツリーをClaudeに見せること』です。見せてしまうと、Claudeは私の枠組みに引きずられて、似たような答えを返してきます。それだと補完になりません。なので、ケースデータだけを渡します。これが『自分の思考をAIで上書きしない』という考え方です。
