章,スライド番号,台本
1,1,この動画から、自分専用の学習Botを作っていくための「考え方」の話を始めます。今日のゴールは3つだけです。なぜ自分の教材を読み込ませたAIが必要なのか、NotebookLMとGemsはどう違う役割を担うのか、そしてソースに何を入れるかの判断軸、この3つを自分の言葉で説明できるようになること。これが今日のすべてです。手を動かす実演は次の動画でまとめてやります。今日は「なぜそうするのか」の腹落ちに全力で振り切ります。操作の前に思想を固めておくと、次の動画の一つひとつの動きに、全部意味がついてきます。逆にここが曖昧なまま手を動かすと、真似ているだけで、なぜそうするかが抜け落ちます。これから10分ちょっと、相棒の話を聞くつもりで、一緒に思想を固めにいきましょう。
1,2,ここから、この講座のいちばんの出発点、「なぜAIに教材を持たせる必要があるのか」の話を始めます。まずは、汎用AIに感じたことがある「合っているのに困る」という違和感を、言葉にしていきます。そのうえで、AIが賢すぎるから逆に合わないという不思議な現象を、因果で解きほぐします。そして最後に、「AI選びじゃなくて、AIに何を持たせるかで差がつく」という、この講座全体を貫く発想の転換にたどり着きます。ここを腹に落とせるかどうかで、このあとの話の効き方がまったく変わります。自分の経験を1つ思い出しながら聞いてみてください。「あの時ちょっと困ったな」という実感があればあるほど、このあとの話は刺さります。では、さっそく話を始めましょう。
1,3,分からない問題をAIに聞いたら、答えは返ってくる。合ってはいる。でも、学校で習った解き方と違う。参考書とも違う。別解が2つも3つも並んで、どれを信じればいいか分からなくなる。こういう経験、ありませんか。間違っているから困るんじゃないんです。合っているのに、今のあなたに合っていないから困る。ここが本当の敵です。原因はAIの性能じゃありません。AIは賢すぎて、あなたが今どの教科書を使って、どの先生に習って、どこでつまずいているかを知らないまま、優等生の答えを返してくる。だから噛み合わない。定期テストや入試が近づいてくるほど、このズレはじわじわ効いてきます。AI活用の本当の難しさは、答えの正しさではなく、文脈のズレをどう消すかにある。そう考えると、見えてくる景色が変わります。
1,4,ここで発想を入れ替えましょう。差がつくのは「どのAIを選ぶか」じゃない。「AIに何を持たせるか」です。例えば、あなたの教科書、ノート、先生が配ったプリント。これを先に渡してから聞く。それだけで、AIはあなたの歩幅で教えてくれる相棒に変わります。この発想の転換が、この講座全体を貫く1本の軸です。次からは、この「持たせる」をどう実現するか、道具と設計の話に入ります。作る前に「なぜそうするか」が腹に落ちていないと、操作を真似するだけで終わってしまう。だから今日は、手を動かす前に、まず道具の正体から一緒に押さえにいきましょう。選ぶ側から、渡す側へ。ポジションを1つ上げる感覚で、ついてきてください。ここからの景色が、きっと少し違って見えるはずです。
2,5,ここから、今日使う道具、NotebookLMの正体を掴む話に入ります。例え話と仕組みと1行コピーの3つで腹落ちさせます。細かい機能の話より、「何をする道具なのか」を感覚で掴むことが狙いです。汎用AIとの違いを1行で言えるようになれば、ここの話はクリアです。その1行は、このあとの話でも何度も戻ってくることになります。ここでポイントになるのは、万能さで勝負しているAIではないということ。範囲の狭さが、逆に勉強という文脈ではいちばん効くんです。そのパラドックスを、これから順番に解いていきます。では、例え話から一緒に見ていきましょう。
2,6,ここで使う道具がNotebookLMです。名前くらいは聞いたことがある人も多いはず。ひとことで言うと「あなたが渡した資料しか見ないAI」です。例えます。汎用AIは、世界中の図書館を暗記している天才。何でも知ってる。でも、あなたの教科書のページをめくりながら答えてくれるわけじゃない。一方でNotebookLMは、あなたが渡した数冊の本だけを、完璧に暗記して机の上に置いている助手です。知識量では天才に負ける。でも、机の上の本のことは、どのページに何が書いてあるか完璧に分かっている。勉強で本当に欲しいのは、どっちの存在か。考えるまでもありませんよね。この非対称性が、今日の講座全体の核になります。では次に、なぜこの道具が噓をつきにくいのかを、仕組みの面から見ていきましょう。
2,7,仕組みはシンプルです。資料をアップロードする。NotebookLMはその資料だけを読んで答える。なぜなら、ソースの外を参照する設計になっていないからです。例えば、答える時には「この答えは、渡された資料のこの部分が根拠です」と引用スニペットで示してくれる。資料に書かれていないことを聞くと「資料にありません」と正直に返す。噓が少ない。これが最大の強みです。勉強で噓が混ざると、一番怖いですよね。覚え直しが発生するだけじゃなくて、テスト本番で間違った知識を書いてしまう。NotebookLMは、その噓の入り口を構造的に塞いでいる道具だと思ってください。答えを信じていいかどうかを、自分の目で確かめられる。この安心感は、他のAIではなかなか得られないものです。では次に、強みと限界をフェアに整理しておきましょう。
2,8,一点だけフェアに言います。噓がゼロではありません。なぜなら、資料の書き方が曖昧だと、あいまいな答えが返ってしまうからです。例えば、走り書きのメモだけでは、AIも読み取りきれません。渡す教材の質が、そのまま返ってくる答えの質になる。だからこそ、このあとで「何を渡すか」の話をする価値があるんです。この章の結論は1行です。「汎用AIは世界を知っている。NotebookLMは、今のあなたの教材を知っている」。この1行を頭に入れたまま、次の設計の話に進みましょう。強みは万能さじゃなくて、範囲を絞ったときの精度と、根拠を追える透明さ。この2つだと覚えてください。そして、この2つの強みを最大化する責任は、道具じゃなくてあなたの手元にあります。そこが、次の話の出発点になります。
3,9,ここから、設計の話に入ります。NotebookLMの力を引き出すカギは、プロンプトよりも、実はソース選びです。ここをブラさないと、次の動画の実演は驚くほどスムーズに進みます。加えてもう1つ大事な話をします。NotebookLM単体では、実は「専属家庭教師」は完成しません。その穴を埋めるのがGemsという仕組みです。この2つを分けて設計する発想が、ここで掴んでほしいゴールです。ソース選び、別の題材での感覚づかみ、そして役割分担、の順でいきます。少し密度の高い話ですが、ここを通ると、次の動画で迷う要素がほぼなくなります。今日のエンジンルームだと思って、少し気合を入れてついてきてください。
3,10,最大のカギはソース選びです。覚え方は2つだけ。入れるか、入れないか。入れるのは、あなたの一次情報です。なぜなら、今のあなたの学習状況に最もマッチした教材だからです。例えば、授業ノート、配布プリント、先生の板書、今使っている教科書の該当章。これらには、先生の言い回しや、授業の順番や、テスト範囲の空気ごと入っています。逆に入れないのはノイズになる資料。関係ない単元、解き方が違う別の参考書、去年の古いノート、文字がかすれた画像PDF。たくさん入れれば賢くなる、は逆です。狭く、深く、今の範囲に合わせる。これが設計の基本姿勢だと覚えてください。迷ったら、「これは今の自分の授業に直結するか」の一問に答えてから、入れるかどうかを決めましょう。シンプルに運用できるはずです。
3,11,なぜ入れすぎがダメなのか。NotebookLMは、関係ない資料が混ざると、情報量不足で困るのではなく、優先順位の混線で答えがぶれます。例えば、優秀なアシスタントの机に、今日の勉強と関係ない書類を山積みにしたらどうなるか。能力が低いから困るんじゃない。どれを優先すべきかが分からなくなる。それとまったく同じことが、AIの中でも起きます。だから頭に入れておいてほしい一行はこれです。「AIを迷わせないことが、あなたの勉強」。これが設計者としての、いちばん最初の役割になります。優秀な助手を活かすも殺すも、机の上の片付け次第。この感覚を持っていると、ソース選びの迷いがほぼなくなります。では次に、数学以外の題材で、この感覚を少し具体化してみましょう。
3,12,"数学の実演は次の動画でまとめてやるので、ここはあえて別の題材、英単語などで感覚をつかみましょう。構造はまったく同じです。例えば、""deduce""という単語の覚え方を汎用AIに聞く。返ってくるのは「de（下に）プラスduce（導く）」という一般的な語源。正しい。でも、あなたのノートには違うことが書いてある。「で、ジュースを推測する」っていう、しょうもないけど絶対忘れない語呂合わせが書いてある。汎用AIはこれを知らないから、あなたの覚え方は無視されて、一般論だけが返ってくる。このズレが、勉強のたびに小さく積もっていくんです。「正しいけど刺さらない」説明ばかりになるのは、だいたいこれが原因です。あなたの覚え方が特別ダメなわけじゃない。AIがそれを知らないだけ。では、解決策を次で見てみましょう。"
3,13,解決策は簡単です。自分の暗記ノートをNotebookLMに渡せばいい。例えば、語呂合わせ、語源メモ、自作の例文、落書きのイラスト。こういう中身が入ったノートをPDFにして渡す。すると「このノートの私の語呂合わせを使って、今日のテスト範囲の20単語で穴埋めクイズを作って。間違えたら私のノートの言葉でヒントを出して」と頼める。返ってくるのは、世界に1つしかない、あなた専用の問題集です。市販のアプリでは絶対に作れない代物ですよね。一行で覚えてほしい。「単語の意味はどのAIでも出せる。でも、あなたがどう覚えているかは、あなたのノートを渡さないと分からない」。数学でも、理科でも、世界史でも、構造は同じです。自分の記憶の仕方を渡せるかどうかが、本当の分かれ道になります。では次に、もう1つの大事な話、役割分担に進みましょう。
3,14,もう1つ、大事な整理をしておきます。NotebookLMだけでは、実は専属家庭教師は完成しません。なぜなら、NotebookLMが強いのは、教材を読ませて、その範囲で根拠付きで説明することだからです。ここはどのAIよりも頼れる。でも、苦手な領域もあります。例えば、先生の人格。教え方のクセ。落ち込んだ日の励まし。毎日の習慣化の声かけ。こういう「どう関わるか」の部分は、資料をいくら渡しても生まれません。教材だけでは、先生にはならないんです。この事実を認めたうえで、次のスライドで解決策の話をします。ここを誤解して、NotebookLMに「性格」まで持たせようとすると、たぶんうまくいきません。役割を分けるほうが、結果的に近道になります。力を入れる場所を間違えないことが、設計者の次の勉強です。
