章,スライド番号,台本
0,1,教養編で渡した3つのプロンプトの型を、実際にAIとどう使うのか。この講座では三角形の合同証明という典型題を題材に、学習者とAIが4往復のキャッチボールで方針を組み立てるプロセスを、スライドの上で丸ごと追体験してもらう。対象は中学生で、教養編「図形をAIで攻略する（考え方）」を視聴済みの人だ。8〜12分後、自分の頭の中で「次、AIに何を聞けばいいか」が動いている状態になる。型を実戦で使う感覚を、ここで身体に入れていこう。
1,2,この章では教養編で渡した3つの型を、なぜ実戦で動かす必要があるのかを腹落ちさせる。さらに図形が苦手なのは才能ではなく脳の処理量の問題であること、AIを「外付けの脳」として使うと負荷が一気に下がることを伝える。次の章で対話の全体像、その次でStep 1〜4の追体験へと進む土台を、ここで固める。
1,3,前講座で図形をAIで攻略するための3つの型を渡した。方針を立てさせる、補助線を引かせる、解答を添削させる。この3つだ。でも型を知っているだけでは実戦で使えない。野球の素振りとバッティングセンターが違うのと同じだ。実際にAIとキャッチボールしてみて、はじめて「あ、こう使うのか」と身体に入る。今日の8〜12分で、1問の合同証明をAIと4回のやりとりで解きほぐすプロセスを丸ごと追体験する。これが実戦投入の入口になる。
1,4,そもそも、図形で手が止まる理由は計算ミスとは違う。もっと静かだ。条件が整理できない、どの合同条件を見るべきか迷う、あと1個の条件が見つからない。頭の中で情報を同時にいくつも処理しようとすると、ワーキングメモリがパンクして思考が凍る。図形が苦手なのはあなたの才能の問題じゃない。脳の処理量の問題だ。だからAIを「外付けの脳」として使う。情報の整理を一部AIに預ければ、一人で抱え込んでいた負荷が一気に軽くなる。
2,5,この章ではあなたのロールとミッションを宣言し、使うツール、そして今日体験する対話の全体像を地図として渡す。Step 1〜4の流れを先に見せておくことで、次の章で具体的な対話に入ったときに迷子にならない。「どこへ向かっているか」を頭に入れたまま、How章の追体験に進める設計だ。
2,6,今回のあなたのロールはシンプル。「AIを相棒にして、図形の問題を自分の力で解きほぐす中学生」だ。AIに使われるんじゃなくて、あなたが主導権を握ってAIを使いこなす。ミッションは、単発の質問で終わらせず、AIの回答を受けて次の問いを返し、連続的な壁打ちを行って自分で気づきを得る状態を作ること。AIに丸投げしないこと、自分の現在地を言葉にしてAIに伝えることが、このロールを果たす鍵になる。
2,7,使うツールはGemini。これは図形問題特有の図解や補助線を画像で生成できる強みがある。もし意図した返答が出なかったらChatGPTに切り替えてもいい。考え方の型はどちらでも変わらない。どちらも無料で使える範囲があるから、自分で口座を作る必要もない。大事なのはツール名より、これから見せる対話の流れだ。流れさえ身に付けば、ツールが変わっても使える。それが「型を持つ」ということだ。
2,8,今日の対話の全体像はこうなる。Step 1で学習者が「方針を立てるための考え方のステップ」をAIに聞く。Step 2でAIが「まず仮定を図に書き込め」と返す。Step 3で学習者が「あと1条件が見つからない」と深掘りする。Step 4でAIが「共通辺・対頂角・錯角から探す」というチェックリストを返し、学習者が自分で方針を確定させる。この4往復で1問の証明問題の方針が頭の中に立ち上がる。順番に見ていこう。
3,9,この章では今日の本体、対話フローの追体験を行う。題材は三角形の合同証明、四角形ABCDで対角線ACを引く典型題だ。Step 1〜4の対話を1ステップずつスライド上で再現し、各Stepで「なぜこう問いかけるのか」「このAI回答から何を受け取るべきか」を解説する。後半では補足としてGeminiの画像生成活用、そしてやってはいけない失敗パターンも提示する。
3,10,では、今日の題材を置こう。スライドを見てほしい。「四角形ABCDにおいて、AB=CD、AB∥DC である。対角線ACを引いたとき、△ABC≡△CDA であることを証明せよ」。教科書や問題集で必ず出会う合同証明の典型題だ。多くの人はこの図をパッと見て「なんとなく同じ形に見える」と感覚で進めようとして迷子になる。ここから4ステップを使ってAIと共に論理を組み立てていく。
