章,スライド番号,スライドタイトル,スライド用テキスト,ミニ台本
0,1,講座名,"計算の仕組みをAIで理解する独学法をマスター
AIを相棒にして、暗記に頼らない計算力を手に入れる","この講座では、中学数学の計算分野をテーマに、AIを使って「なぜそうなるのか」という仕組みを自分で理解する方法を身につける。対象は中学生で、AIを使ったことがない人でも大丈夫だ。計算問題を暗記で乗り切ろうとして行き詰まった経験があるなら、この講座はまさにそこを突破するためのものになっている。見終わる頃には、AIを壁打ち相手にして、どんな計算ルールでも自力で仕組みをつかめる「自走力」が手に入る。"
0,2,計算問題＝暗記ゲーという常識を壊す,"この動画で得られること:
・計算の仕組みをAIに聞く方法
・自分専用の学習環境の作り方
・暗記に頼らず自走できる力","計算って、暗記ゲーだと思ってないか。マイナス×マイナスはプラス。分数の割り算はひっくり返して掛ける。「そういうもんだから覚えろ」って言われて、意味もわからないまま頭に詰め込む。でも応用問題になった瞬間に手が止まる。それは暗記が足りないからじゃない。仕組みがわかってないからだ。この動画では、AIを使って計算の「なぜ」をつかむ方法を全部見せる。AIは何回聞いても怒らない、24時間いつでも付き合ってくれる専属コーチだ。最後まで見れば、自分でAIに聞いて、自分で納得して、自分で前に進める力が手に入る。"
1,3,章タイトルスライド,"AIに「なぜ？」を聞いて計算の仕組みをつかむ
計算ルールの仕組みをAIに問いかけ、3種のプロンプトパターンを使い分けられる","この章では、計算ルールの裏側にある仕組みをAIに聞き出すための考え方と、具体的なプロンプトパターンを3つ身につける。暗記で計算を乗り切ろうとするアプローチがなぜ限界に達するのかを整理した上で、AIを「何度でもなぜに答えてくれる専属コーチ」として使いこなすための土台を作る。"
1,4,暗記だけの計算は応用で必ず崩壊する,"数学のつまずき原因:
・ルールを意味なく暗記
・ひねった問題で手が止まる
・仕組みを知らないまま積み上げる","数学が苦手になるパターンで一番多いのは「ルールを意味もわからず暗記する」だ。たとえば「マイナス×マイナスはプラス」。これ、なぜそうなるか説明できるか。ほとんどの人は「そういうルールだから」で終わる。でも仕組みを理解していない暗記は、ちょっとひねった問題が出た瞬間に崩壊する。ベネッセの調査によると、中学生が数学でつまずく最大のポイントは「正負の数の計算」と「文字式」だ。どちらも暗記だけでは突破できない。つまり暗記アプローチには明確な限界がある。"
1,5,AIは「なぜ？」に100回答える専属コーチ,"AIの強み:
・何回聞いても嫌な顔しない
・図、お金、例え話など説明を変えられる
・24時間いつでも対応","じゃあどうするか。ここで登場するのがAIだ。AIは「なぜそうなるの？」と聞けば、図を使ったり、お金の例えを使ったり、何パターンでも説明してくれる。しかも何回聞いても嫌な顔ひとつしない。塾の先生には3回が限界でも、AIには100回聞ける。この「なぜを無限に聞ける環境」を使い倒すのが、この講座の核になる考え方だ。ただし重要なのは、AIに答えを教えてもらうんじゃなくて、自分で「なぜ？」を投げること。主語は常に自分だ。"
1,6,仕組みを引き出す3つのプロンプトパターン,"3パターン:
1. 「なぜ？」を引き出す
2. 「別の視点」を引き出す
3. 「自分の理解」を検証する","この章で身につけるのは、AIへの聞き方だ。ただ「教えて」と聞くのと、仕組みを引き出す聞き方をするのでは、返ってくる答えの質がまるで違う。具体的には3つのパターンを使う。1つ目は「なぜ？」を引き出すパターン。2つ目は「別の視点」を引き出すパターン。3つ目は「自分の理解を検証する」パターン。この3つを状況に応じて使い分けられるようになれば、どんな計算ルールに出会っても自分で仕組みをつかめる。それが「自走」だ。"
1,7,パターン1：仕組みを「納得レベル」で引き出す,"プロンプト例:
「負の数同士を掛けると、なぜプラスになるの？暗記じゃなくて、納得できる仕組みを教えて。」","まずパターン1。「負の数同士を掛けると、なぜプラスになるの？暗記じゃなくて、納得できる仕組みを教えて。」これがポイントだ。「教えて」だけじゃなく「暗記じゃなくて納得できる仕組みを」と付け加える。この一言があるだけで、AIは「ルールの説明」ではなく「仕組みの解説」を返してくれる。聞き方を少し変えるだけで、返ってくる答えの深さがまるで変わる。ここが暗記と理解の分岐点になる。"
1,8,パターン2：わからなければ角度を変えて聞く,"プロンプト例:
「分数の割り算は逆数にして掛けるって習ったけど、なんでそうしていいの？図やお金の例えで説明して。」","次にパターン2。パターン1で聞いた答えがピンとこなかったとき、このパターンの出番だ。「分数の割り算は逆数にして掛けるって習ったけど、なんでそうしていいの？図やお金の例えで説明して。」ポイントは「図で」「お金の例えで」のように、自分がわかりやすいと思う方法をリクエストすること。AIは言い方を変えて何度でも説明してくれる。1回でわからなくても、角度を変えれば必ず刺さる説明が見つかる。"
1,9,パターン3：自分の理解をAIにぶつけて検証する,"プロンプト例:
「同類項をまとめるのって、同じ種類のフルーツをカゴにまとめるのと同じ感覚で合ってる？合ってたら練習問題を出して。」","最後にパターン3。これは最強のパターンだ。自分で考えた理解をAIにぶつけて、合ってるかどうか確認する。「文字式の同類項をまとめるのって、同じ種類のフルーツをカゴにまとめるのと同じ感覚で合ってる？合ってたらもっと複雑な式で練習問題を出して。」合っていたら練習問題を出してもらう。間違っていたらどこがズレているか教えてもらう。自分で考えて、自分で検証する。この流れが理解を一番深くする。"
1,10,3パターンを回すだけで仕組みが自分のものになる,"壁打ちの流れ:
パターン1で「なぜ？」を聞く
→ わからなければパターン2で角度を変える
→ 「こういうこと？」と思えたらパターン3で検証","この3つを組み合わせると、壁打ちの流れはこうなる。まずパターン1で「なぜ？」を聞く。わからなかったらパターン2で別の角度から聞く。自分なりに「こういうことか」と思えたらパターン3で検証する。この流れを回すだけで、計算ルールの仕組みが自分のものになる。重要なのは、この3つはどれも「自分が主語」だということ。AIに答えを教えてもらうんじゃない。自分で考えて、自分で聞いて、自分で確認する。AIはその壁打ち相手だ。"
