操作内容,台本
"NotebookLMホーム画面（ログイン済み、ノートブック一覧と「新しいノートブックを作成」ボタンが見える状態）を開いたまま、操作せずに3秒静止する。","ここからは実践に入っていきます。前回までに、AIに何を持たせるかで結果が変わる、ということを一緒に整理していただきましたね。"
"そのまま、画面を見せたまま話し続ける。","今日はその思想を、実際のNotebookLMの画面で形にしていきます。"
"そのまま話し続ける。","ゴールは、みなさんの手元にある授業ノートと配布プリントと参考書PDFを読み込ませて、自分のノートの解き方で質問に答えてくれるBotを、完成させるところまでです。"
"そのまま話し続ける。","流れは5ステップ。ノートブックを作って、ソースを入れて、質問して、範囲外の動きを見て、最後に運用の話までいきます。"
"そのまま話し続ける。","なお、この動画はGoogleアカウントでログイン済みの状態から始めます。まだの方は、notebooklm.google.comでログインしてから戻ってきてください。それでは始めていきましょう。"
"画面中央の「新しいノートブックを作成」ボタン（または類似ラベル）をクリックする。新規ノートブックの編集画面に切り替わる。","Phase1です。まず、学習Botの器になるノートブックを作ります。2段階認証が出る方は、スマホで承認してから続けてください。"
"画面上部のノートブック名欄（デフォルトで「無題のノートブック」等）をクリックして選択状態にする。入力欄に「高2_数学_微分」と一言一句そのまま入力し、Enterキーで確定する。","ノートブック名を変えます。今日は「高2_数学_微分」と付けます。ここ、大事なコツがひとつ。名前に科目と単元を入れることです。「高2_数学」だけだと、あとで別の単元を混ぜたくなってしまうので、1ノートブック1単元くらいの粒度がおすすめです。"
"ノートブック名が「高2_数学_微分」に変わったことを確認し、3秒静止する。","はい、ノートブックの器ができました。中はまだ空です。Phase2で、ここにみなさんの教材を入れていきます。"
"左ペインのソースエリアにある「+追加」ボタン（または「ソースを追加」ボタン）をクリックする。ソース追加のモーダルが表示される。","Phase2、ソースを追加していきます。今日入れるのは3カテゴリ。授業ノート、配布プリント、参考書の該当章です。実際には授業ノートが2冊あるので、合計4ファイルになります。"
"モーダルで「PDFをアップロード」を選び、ファイル選択ダイアログから「数学II_授業ノート1_微分.pdf」を選択して「開く」をクリックする。読み込み完了まで待つ。","1つ目、授業ノートの1冊目から入れます。一次情報の中心です。"
"再度「+追加」をクリックし、「数学II_授業ノート2_微分.pdf」を選択してアップロードする。読み込み完了まで待つ。","2冊目のノートも足します。みなさんも同じ手順で、自分のノートを順番に入れてみてください。"
