rank,title,url,price,reviews,author,category,description,thumbnail,createdAt
1,"【AIで鑑定作成】副業占い完全攻略マニュアル【0→1突破ロードマップ付き】
ビジネス
¥9,980
紹介で30%還元（全員）
5.0 (457件)
ねずみくん3 years ago",https://brain-market.com/u/koki-br/a/b1EzNxUTMgoTZsNWa0JXY,"¥9,980",457,koki-br,,"【AIで鑑定作成】副業占い完全攻略マニュアル【0→1突破ロードマップ付き】
ビジネス
¥9,980
紹介で30%還元（全員）
5.0 (457件)
ねずみくん3 years ago",,
2,"【爆速で0→1突破へ】AI × 誕生日占い鑑定書作成バイブル～稼ぎに特化した副業ネット占いビジネス
ビジネス
¥4,980
紹介で50%還元（全員）
5.0 (420件)
YUKI3 years ago",https://brain-market.com/u/yknetdiviner/a/b0kTO4cTMgoTZsNWa0JXY,"¥4,980",420,yknetdiviner,,"【爆速で0→1突破へ】AI × 誕生日占い鑑定書作成バイブル～稼ぎに特化した副業ネット占いビジネス
ビジネス
¥4,980
紹介で50%還元（全員）
5.0 (420件)
YUKI3 years ago",,
3,"【シリーズ5冠達成❢】ブロガーも必見！激時短AIライティング術【秀逸】属人性AI導入の指南書～AIコンテンツメイクのすすめ
その他
¥3,980
紹介で50%還元（全員）
5.0 (341件)
右京3 years ago",https://brain-market.com/u/brain/a/b2cDOxQTMgoTZsNWa0JXY,"¥3,980",341,brain,,"【シリーズ5冠達成❢】ブロガーも必見！激時短AIライティング術【秀逸】属人性AI導入の指南書～AIコンテンツメイクのすすめ
その他
¥3,980
紹介で50%還元（全員）
5.0 (341件)
右京3 years ago",,
4,"【2025年更新】インスタ占いスタートガイド ~占いもインスタも知識・経験0から始める初心者戦略~【総合ランキング1位獲得👑】【400部突破】
SNS
¥3,980
紹介で50%還元（全員）
5.0 (305件)
リアム | インスタ占い2 years ago",https://brain-market.com/u/liam_uranai/a/bwgjN5kTMgoTZsNWa0JXY,"¥3,980",305,liam_uranai,,"【2025年更新】インスタ占いスタートガイド ~占いもインスタも知識・経験0から始める初心者戦略~【総合ランキング1位獲得👑】【400部突破】
SNS
¥3,980
紹介で50%還元（全員）
5.0 (305件)
リアム | インスタ占い2 years ago",,
5,"【超初心者でも勝ち確】労働からの脱却『1年で利益1000万円稼いだ』在宅ジャニーズ円盤投資術
物販
¥39,800
紹介で50%還元（購入者限定）
5.0 (284件)
ぽるとら@ジャニーズBrain総合1位獲得3 years ago",https://brain-market.com/u/portolano/a/b3YTN2MTMgoTZsNWa0JXY,"¥39,800",284,portolano,,"【超初心者でも勝ち確】労働からの脱却『1年で利益1000万円稼いだ』在宅ジャニーズ円盤投資術
物販
¥39,800
紹介で50%還元（購入者限定）
5.0 (284件)
ぽるとら@ジャニーズBrain総合1位獲得3 years ago",,
6,"スマホ1台でできる！日記感覚ブログで月3万円を稼ぐ『アメステップ』
ビジネス
¥4,980
紹介で50%還元（購入者限定）
4.8 (274件)
はたぼー2 months ago",https://brain-market.com/u/brain-hatabo/a/bzETNzMjMgoTZsNWa0JXY,"¥4,980",274,brain-hatabo,,"スマホ1台でできる！日記感覚ブログで月3万円を稼ぐ『アメステップ』
ビジネス
¥4,980
紹介で50%還元（購入者限定）
4.8 (274件)
はたぼー2 months ago",,
7,"【未経験•顔出しなし】TikTok×占い集客完全攻略マニュアル【AIを駆使して投稿作成】
ビジネス
¥100,000
紹介で30%還元（全員）
5.0 (249件)
ねずみくん3 years ago",https://brain-market.com/u/koki-br/a/bwczN2cTMgoTZsNWa0JXY,"¥100,000",249,koki-br,,"【未経験•顔出しなし】TikTok×占い集客完全攻略マニュアル【AIを駆使して投稿作成】
ビジネス
¥100,000
紹介で30%還元（全員）
5.0 (249件)
ねずみくん3 years ago",,
8,"【シリーズ３冠達成！】占いビジネス×AIライティング占術～AIコンテンツメイクのすすめ３
ライティング
¥4,980
紹介で50%還元（全員）
5.0 (245件)
YUKI3 years ago",https://brain-market.com/u/yknetdiviner/a/bwQTM3UTMgoTZsNWa0JXY,"¥4,980",245,yknetdiviner,,"【シリーズ３冠達成！】占いビジネス×AIライティング占術～AIコンテンツメイクのすすめ３
ライティング
¥4,980
紹介で50%還元（全員）
5.0 (245件)
YUKI3 years ago",,
9,"Brainの始め方
ビジネス
¥3,980
紹介で50%還元（全員）
4.9 (245件)
まりぴん2 years ago",https://brain-market.com/u/maripin/a/bzIDMxAjMgoTZsNWa0JXY,"¥3,980",245,maripin,,"Brainの始め方
ビジネス
¥3,980
紹介で50%還元（全員）
4.9 (245件)
まりぴん2 years ago",,
10,"【インスタ占いの全て】インスタ×占いマーケティングで月50万円稼ぐ全てを解説！【210部突破🎉】
マーケティング
¥49,980
紹介で50%還元（全員）
5.0 (231件)
リアム | インスタ占い2 years ago",https://brain-market.com/u/liam_uranai/a/b1cTM4gTMgoTZsNWa0JXY,"¥49,980",231,liam_uranai,,"【インスタ占いの全て】インスタ×占いマーケティングで月50万円稼ぐ全てを解説！【210部突破🎉】
マーケティング
¥49,980
紹介で50%還元（全員）
5.0 (231件)
リアム | インスタ占い2 years ago",,
