章,スライド番号,台本
0,1,この講座では、前講座で手に入れた3つのプロンプト聞き方を使い、スマホ料金プランを題材にAIと連続した対話を追体験する。対象は中学生で、前講座「関数をAIで攻略する（考え方）」を先に見ておいてほしい。関数の思考法だけ知っていても教室で振れない、と感じた人に最適な1本だ。見終わる頃には、自分の関数問題にも同じプロセスをそのまま適用できる状態に持ち上がっている。
1,2,この章では、なぜ単発質問ではなく連続対話の追体験が必要なのかを整理する。聞き方を知っただけでは振れないという事実、単発と連続キャッチボールの破壊的な差、そして自走の前にプロセスを丸ごと見ておく効率。この動画の存在意義そのものを腹落ちさせる章になる。
1,3,前講座で、関数をAIで攻略するための3つの聞き方を手に入れた。情報整理、変化の視覚化、意図の翻訳。頭には入った。でも正直に言うと、聞き方を知っただけでは関数は解けるようにならない。料理のレシピを読んだだけで包丁が持てないのと同じだ。聞き方を「使える道具」にするには、聞き方が実際に動いている教室を一度見ておく必要がある。
1,4,AIとの対話は1回投げて終わりじゃない。情報整理で引き出し、返ってきた答えに視覚化で角度を変え、最後に翻訳してもらう。この連続したキャッチボールを回せるかどうかが、自走できる人と止まる人の分かれ目になる。単発で1問聞いて終わるのと、追撃を入れて3つの聞き方を全部使い切るのでは、同じAIに聞いても返ってくる学びの深さがまるで違う。
1,5,キャッチボールを自分で回す前に、一度、プロセスを丸ごと見ておく価値は大きい。いきなり自分で始めるより、まず1回追体験してからの方が、自走の成功率が跳ね上がる。この動画の役割はそこにある。3つの聞き方をフル回転させた対話を、スライド上で最初から最後まで見てもらう。AIの画面の前に座っている感覚で見てほしい。
2,6,この章では、キャッチボールに入る前の準備を整える。題材はスマホ料金プラン問題、そして対話を学びに変えるための3つのルールをセットする。土台が揃った状態で、次の章から対話本体に入る流れだ。
2,7,今日使うのはスマホの料金プラン問題。なぜこの題材か。3つ理由がある。ほぼ全員が自分のスマホで知っていること、基本料金と従量課金が切片と傾きに自然に対応すること、「月いくら以内」という条件が文章題の意図翻訳にそのまま使えること。関数の主要要素が全部自然に登場する、ちょうどいい題材だ。
2,8,問題はこうだ。「基本料金が1000円、1ギガ使うごとに200円加算される。使ったギガ数をx、料金をyとしたときの式は？さらに月5000円以内に収めたい場合、何ギガまで使える？」これが今日解きほぐす問題。ゴールはシンプルで、AIと対話しながら式・グラフ・文章条件を自分で翻訳し切る状態に持っていくことだ。
2,9,対話を学びに変える3つのルールを渡しておく。ルール1、質問は自分の言葉で投げる。問題を丸ごとコピペしてAIに投げるのは禁止だ。返ってくるのが完成された解答だけになって、学びがゼロになる。ルール2、返ってきた答えには必ず1回追撃を入れる。「具体的には？」「他のパターンでは？」で掘り下げる。この追撃を省くと、理解が表面で止まる。ルール3、対話が終わったら自分の言葉で要約する。短くていい。「傾きは1GBの単価、切片は基本料金」くらいの一行でいい。要約しないと、翌日には消える。
2,10,題材、ゴール、ルール。ここまでが揃った状態で、次の章から3つの聞き方を順番に発動していく。見ながら「自分ならどう聞くか」も頭の中で並走させてほしい。スライドの中の質問と自分の質問を比べて、違いがあったらなぜかを考える。それだけでこの章で見るものの定着度が倍になる。
3,11,この章が今日の心臓部分だ。ラウンド1は情報整理、ラウンド2は視覚化、ラウンド3は翻訳。各ラウンドで「最初の質問」と「追撃」をセットで見せていく。見終わる頃には、対話のリズムが体に入っている状態を目指す。
