章,スライド番号,台本
0,1,"この講座では、中学数学の関数分野で「グラフや式から何を読み取るか」をAIに整理させて自分で理解する方法を身につける。対象は中学生。AIを使ったことがなくても問題ない。なぜこれが必要か。関数の問題で数字を代入して答えを出すだけで乗り切ろうとして、応用問題で手が止まった経験があるなら、それは代入のやり方が悪いんじゃなくて、関数を「読めていない」ことが原因だ。読み方がわかれば、初見の問題でも対応できるようになる。たとえばｙ＝2ｘ−3。これを「ｘに数字を入れるもの」で覚えた人と、「傾きが2・切片が−3」と読み取れる人では、3ヶ月後の関数力に圧倒的な差が出る。安心してほしい。この講座は特別な準備はいらない。スマホがあれば今日から始められる。最後まで見れば、AIを壁打ち相手にして、どんな関数問題でも自力で読み解ける「自走力」が手に入る。では始めよう。"
0,2,"このスライドで伝えたいのは、関数は点の集まりじゃないということだ。式にはちゃんと読み取るべき情報が隠れている。代入で乗り切れるのは定型問題だけで、応用問題になった瞬間に崩壊する。なぜか。代入は「パターンの再生」だ。見たことがある形なら解ける。でも少しでも形が変わると手が止まる。読み取りができれば、形が変わっても対応できる。この差は決定的だ。たとえばｙ＝2ｘ−3。「ｘに1を入れたらｙは−1」と機械的に答える人は多い。でも「このグラフは右に1進むと上に2上がる」「ｙ軸と−3で交わる」と読める人は少ない。読めていないということは、理解していないということだ。「自分もそうだ」と思った人、大丈夫。ここから変えればいい。この動画では、AIを使って関数を「読める」ようにする方法を全部見せる。AIは何回聞いても怒らない、24時間いつでも付き合ってくれる専属コーチだ。では、具体的にどうAIに聞けばいいのか。次のスライドから見ていこう。"
1,3,"この章で身につけるのは、関数の式・グラフ・文章題から「読み取るべき情報」をAIに整理させるための考え方と、具体的なプロンプトパターン3つだ。なぜこれが大事か。AIに「教えて」とだけ聞くのと、読み取るべき情報を引き出す聞き方をするのとでは、返ってくる答えの質がまるで違うからだ。聞き方を知っているかどうかで、AIが「答えを教えてくれるだけの機械」になるか「読み取り方を一緒に整理してくれるコーチ」になるかが分かれる。たとえば「ｙ＝2ｘ−3ってどういう意味？」と聞くのと、「式から最初に読み取るべき2つの情報は何？」と聞くのとでは、返ってくる答えの深さがまったく違う。この章を終える頃には、3つのパターンを使い分けてAIと壁打ちできるようになっている。パターンは3つだけだ。順番に見ていこう。"
1,4,"このスライドで伝えたいのは、関数の代入アプローチには明確な限界があるということだ。理由はシンプル。代入は「パターン再生」であり、見たことがない形には対応できない。関数は比例、反比例、一次関数、二次関数と進むにつれて応用力が求められるから、代入だけで進むと必ずどこかで行き詰まる。関数で多いつまずきは3つある。式の意味を考えずに数字を代入するだけになっている。グラフの形が式のどこから決まっているのか分かっていない。文章題になると与えられた条件を式やグラフにつなげられない。この3つに心当たりがある人は、才能の問題じゃなくてやり方の問題だ。やり方を変えれば結果は変わる。じゃあどうすればいいのか。次のスライドで、その答えを見せる。"
1,5,"結論から言う。AIは「見落としている情報」を整理してくれる専属コーチだ。なぜ最強か。3つの理由がある。1つ目、自分が何を見落としているかをAIが並べてくれる。式を出して「読み取るべき情報は？」と聞くだけで、傾き、切片、変化の仕方が整理される。2つ目、何回聞いても嫌な顔しない。塾の先生に同じ質問を10回するのは気が引けるけど、AIには100回聞ける。3つ目、24時間いつでも対応。夜中に宿題で詰まっても、その場で聞ける。たとえば、夜9時に関数の問題で止まったとする。塾には聞けない。親にも聞きにくい。でもAIなら、その場で「この式から何を読み取ればいいの？」と聞ける。しかも自分が納得するまで何度でも。ただし一つだけ。大事なのは「自分で問いを投げること」だ。AIに丸投げして答えだけもらうのは代入と変わらない。主語は常に自分。これだけは忘れないでほしい。では、具体的にどう聞けばいいのか。次のスライドで3つのパターンを整理する。"
1,6,"ここで伝えるのは、関数の読み取りをAIに引き出してもらうための3つのプロンプトパターンだ。なぜパターン化するか。毎回「どう聞こう」と迷っていたら、肝心の関数の理解に集中できないからだ。パターンを持っておけば、聞き方に迷う時間がゼロになる。3つのパターンはこうだ。パターン1は「読み取るべき情報」を整理させる。式やグラフから何を見ればいいのかをAIに並べさせる。パターン2は「変化のイメージ」を視覚化させる。抽象的な数字や記号を身近な例えに翻訳させる。パターン3は「問題の意図」を翻訳させる。文章題の条件がグラフ上でどう動くのかをAIに変換させる。この3つだけ覚えておけば、どんな関数問題に出会っても対応できる。数は3つだけ。多くない。順番に具体例を見ていこう。"
1,7,"パターン1は、式から読み取るべき情報をAIに並べさせるプロンプトだ。なぜこれが最初に来るか。関数でつまずく原因の大半が「式を見ても何を見ればいいか分からない」だからだ。最初にこの壁を壊すのが一番効果が大きい。具体的なプロンプトはこうだ。「ｙ＝2ｘ−3のグラフを描くとき、式から最初に読み取るべき2つの情報は何？どうしてそれが大事なの？」ポイントは2つ。1つ目は「最初に読み取るべき2つの情報」と具体的な数を指定すること。AIは「傾きが2」「切片が−3」と整理して返してくれる。2つ目は「どうして大事なのか」まで聞くこと。理由まで言語化されるから、次に似た式を見たとき自分で読み取れるようになる。最初は「こんな簡単なことで変わるのか」と思うかもしれない。でも実際にやってみると、返ってくる答えの解像度がまるで違う。次のスライドでパターン2を見ていこう。"
1,8,"パターン2は、抽象的な数字や記号を身近な例えに翻訳させるプロンプトだ。なぜ必要か。関数には「傾きがマイナス」「比例定数」など、言葉だけではイメージしにくい概念が多い。そのままだと頭に残らず、次の問題で思い出せない。だから身近な例えに変換してもらう。具体的なプロンプトはこうだ。「比例定数がマイナスになるとグラフはどうなるの？坂道やエレベーターに例えて、直感的にイメージできるように説明して。」ポイントは「坂道やエレベーターに例えて」と身近な比喩を指定すること。抽象的な「マイナスの傾き」が「下っていく坂道」や「下に降りるエレベーター」に翻訳されて、頭の中にイメージが残る。自分にとってしっくりくる例えを何パターンでも試せる。ケーキの切り分けでも、駅の階段でもいい。自分の言葉でリクエストすれば、AIはそれに合わせて例えを作ってくれる。次はパターン3だ。"
1,9,"パターン3は、文章題の条件をグラフ上の動きに翻訳させるプロンプトだ。3つの中でこれが最強。なぜ最強か。文章題でつまずく人は、実は「翻訳」でつまずいている。言葉で書かれた条件を、グラフや式の動きに変換できていない。これをAIに代わりにやってもらうのがパターン3だ。具体的なプロンプトはこうだ。「『ｘが2増加するとｙが4増加する』っていう問題文の条件は、グラフ上で言うとどういう動きになるの？図を描くためのヒントを教えて。」このプロンプトで、AIは文章題の条件を「右に2、上に4の動き」と翻訳してくれる。そこまで変換できれば、あとは傾きが4÷2＝2だと計算するだけだ。文章題が急に「読めるもの」に変わる。自分でもやってみると、この翻訳プロセスのありがたさが分かる。次のスライドで、3パターンを組み合わせた壁打ちの流れを整理する。"
1,10,"3つのパターンの使い方の流れを整理する。回すだけで関数が読めるものに変わる。なぜ「回す」のか。1つのパターンだけでは理解が浅いままで終わる可能性がある。3つを組み合わせることで、式・グラフ・文章題が全部つながる。具体的な流れはこうだ。まずパターン1で式から読み取るべき情報を整理する。次にパターン2でその情報がグラフ上でどう動くかを視覚化する。最後にパターン3で文章題の条件を動きに翻訳する。この流れの中で一番大事なのは「自分が主語」であること。AIに答えを教えてもらうんじゃない。自分で問いを投げて、自分で整理してもらって、自分で納得する。AIは壁打ち相手だ。この姿勢を持てるかどうかで、全部が変わる。次の章では、この流れを実際にAIと4ステップの対話で回すプロセスを見せる。"
