章,スライド番号,スライドタイトル,スライド用テキスト,ミニ台本
0,1,講座名,"関数の読み方をAIで攻略する独学法をマスター
AIを相棒にして、グラフと式を自分で読み解ける力を手に入れる","この講座では、中学数学の関数分野をテーマに、AIを使って「グラフや式から何を読み取るか」を自分で整理する方法を身につける。対象は中学生で、AIを使ったことがない人でも大丈夫だ。関数の問題で「何を見ればいいのか分からない」と固まった経験があるなら、この講座はまさにそこを突破するためのものになっている。見終わる頃には、AIを壁打ち相手にして、どんな関数問題でも自力で読み解ける「自走力」が手に入る。"
0,2,関数＝点の集まりという思い込みを壊す,"この動画で得られること:
・関数の読み取り方をAIに整理させる技術
・AIとの4ステップ対話フロー
・自分専用の数学コーチの作り方","関数って、ただの点の集まりだと思ってないか。ｙ＝2ｘ−3と言われて、数字を代入して答えを出すだけで乗り切る。そのやり方は、応用問題が出た瞬間に止まる。それは頭が悪いからじゃない。関数を「読めていない」からだ。この動画では、AIを使って関数を「読める」ようにする方法を全部見せる。AIは何回聞いても怒らない、24時間いつでも付き合ってくれる専属コーチだ。最後まで見れば、自分でAIに問いを投げて、自分で整理して、自分で前に進める力が手に入る。"
1,3,章タイトルスライド,"AIに「読み取るべき情報」を整理させて関数を攻略する
関数の式・グラフ・文章題から読み取るべき情報をAIに整理させ、3種のプロンプトパターンを使い分けられる","この章では、関数分野でAIを使いこなすための考え方と、具体的なプロンプトパターンを3つ身につける。関数の式やグラフの中に隠れている「読み取るべき情報」をAIに整理させる姿勢を土台として、どんな関数問題にも対応できる聞き方を手に入れる。"
1,4,関数は「代入する」ではなく「読み取る」もの,"関数のつまずきパターン:
・式の意味を考えずに数字を代入
・グラフの形が式と結びついていない
・文章題で条件が整理できない","関数が苦手になるパターンで一番多いのは、「式の意味を考えずに数字を代入するだけ」になっていることだ。ｙ＝2ｘ−3にｘ＝1を入れて、ｙ＝−1を出す。答えは合っている。でも、なぜその式がそのグラフになるのか、本当は腹落ちしていない。関数には、式の中に「読み取るべき情報」が必ず隠れている。傾きはいくつか、どこから始まるのか、増えていくのか減っていくのか。それを読めるかどうかで、応用問題が解けるかどうかが決まる。"
1,5,AIは「見落とし」を整理してくれる専属コーチ,"AIの強み:
・見落としている情報を整理してくれる
・何回聞いても嫌な顔しない
・24時間いつでも対応","じゃあ、その読み取り方はどうすれば身につくか。ここで登場するのがAIだ。AIは、自分が見落としている情報を整理してくれる。「この式から何を読み取ればいいの？」と聞けば、すぐに並べてくれる。しかも何回聞いても嫌な顔ひとつしない。塾の先生には3回が限界でも、AIには100回聞ける。この「整理を無限に頼める環境」を使い倒すのが、この講座の核になる考え方だ。ただし主語は常に自分。AIに答えを丸投げするのは別の話だ。"
1,6,関数を読み解く3つのプロンプトパターン,"3パターン:
1. 「読み取るべき情報」を整理させる
2. 「変化のイメージ」を視覚化させる
3. 「問題の意図」を翻訳させる","この章で身につけるのは、関数分野でAIを使いこなすための3つのプロンプトパターンだ。1つ目は「読み取るべき情報」を整理させるパターン。式やグラフから何を見ればいいのかをAIに並べさせる。2つ目は「変化のイメージ」を視覚化させるパターン。抽象的な数字や記号を身近な例えに翻訳させる。3つ目は「問題の意図」を翻訳させるパターン。文章題の条件がグラフ上でどう動くかをAIに出させる。この3つを状況に応じて使い分けられれば、どんな関数問題にも対応できる。"
1,7,パターン1：式から読み取るべき情報を並べさせる,"プロンプト例:
「ｙ＝2ｘ−3のグラフを描くとき、式から最初に読み取るべき2つの情報は何？どうしてそれが大事なの？」","まずパターン1。「ｙ＝2ｘ−3のグラフを描くとき、式から最初に読み取るべき2つの情報は何？どうしてそれが大事なの？」ポイントは「式から最初に読み取るべき2つの情報」と具体的に指定すること。この一言でAIは「傾きが2」「切片が−3」と情報を整理して返してくれる。さらに「どうして大事なのか」まで聞いているから、理由まで言語化される。聞き方を変えるだけで、返ってくる答えの深さがまるで違う。"
1,8,パターン2：抽象を身近な例えに翻訳させる,"プロンプト例:
「比例定数がマイナスになるとグラフはどうなるの？坂道やエレベーターに例えて、直感的にイメージできるように説明して。」","次にパターン2。「比例定数がマイナスになるとグラフはどうなるの？坂道やエレベーターに例えて、直感的にイメージできるように説明して。」ポイントは「坂道やエレベーターに例えて」と身近な比喩を指定すること。抽象的な「マイナスの傾き」が「下っていく坂道」に翻訳されて、頭の中にイメージが残る。AIは自分の言葉遣いに合わせた例えを何パターンでも出してくれる。"
1,9,パターン3：文章題の条件をグラフ上の動きに翻訳させる,"プロンプト例:
「『ｘが2増加するとｙが4増加する』っていう問題文の条件は、グラフ上で言うとどういう動きになるの？図を描くためのヒントを教えて。」","最後にパターン3。「『ｘが2増加するとｙが4増加する』っていう問題文の条件は、グラフ上で言うとどういう動きになるの？図を描くためのヒントを教えて。」これは文章題の翻訳機だ。言葉でしか書かれていない条件を、グラフ上の動きに変換させる。文章題でつまずく人は、実は「翻訳」でつまずいている。AIに翻訳させる癖をつければ、文章題が急に解けるようになる。"
1,10,3パターンを回すだけで関数が読めるものに変わる,"壁打ちの流れ:
パターン1で式を読み取る
→ パターン2でグラフの動きを視覚化
→ パターン3で文章題を翻訳","この3つを組み合わせると、壁打ちの流れはこうなる。まずパターン1で式から何を読み取るかを整理する。次にパターン2でその情報がグラフ上でどう動くかを視覚化する。最後にパターン3で文章題の条件を動きに翻訳する。この流れを回すだけで、関数問題が「読めるもの」に変わる。重要なのは、どのパターンも主語が自分であること。AIはあくまで壁打ち相手だ。"
1,11,代入と読み取りの差は3ヶ月後に圧倒的に出る,"まとめ:
・関数は「代入」ではなく「読み取り」
・3パターンがあればどんな問題にも対応できる
・次章で4ステップ対話フローの実例を見せる","ここまでで、関数分野でAIを使いこなすための3つのプロンプトパターンを整理した。代入で乗り切ろうとするのと、読み取りで進むのとでは、3ヶ月後の関数力に圧倒的な差が出る。この3パターンさえ使えれば、今後どんな関数問題に出会っても自力で読み解ける。次の章では、この3パターンを使って、実際にAIと対話しながら1問を読み解いていく流れを見せる。こう聞いたらこう返ってくる、そこからさらにこう掘り下げるというリアルなキャッチボールを追体験してほしい。"
2,12,章タイトルスライド,"1問をAIと壁打ちしながら読み解く対話フロー
Ch1の3パターンを使い、AIとの連続的な対話で1つの問題を読み解く流れを自分で再現できる","この章では、Ch1のプロンプトパターンを使ってAIと4ステップで対話する流れを、1つの関数問題を題材に追体験する。最初の問い、AIの回答、掘り下げの問い、自分の言葉での確認。このキャッチボールが回せるようになれば、1問から得られる学びが何倍にも広がる。"
