章,スライド番号,スライドタイトル,スライド用テキスト,ミニ台本
0,1,講座名,"図形をAIで攻略する（考え方）
AIを専属コーチにして、丸暗記から自走する力へ",中学数学の図形分野をテーマに、AIを「答えを教える先生」ではなく「思考を伴走する専属コーチ」として使うための心構えと、3つのプロンプトの型を渡す講座だ。対象は中学生で、AIを使ったことがない人でも問題ない。図形の証明で手が止まる、補助線が引けない、解答を丸暗記して入試で崩れる、こういう経験があれば、まさにこの講座の出口で景色が変わる。10分後、頭の中で「次、何をAIに聞けばいいか」が動いている状態になっている。図形は才能じゃなく、型を持てば誰でも前に進める。そのための型を、ここから一緒に身につけていこう。
1,2,章タイトルスライド,"図形でAIが必要な理由
丸暗記の限界を理解し、AIを使う必然性に腹落ちする",この章では、図形の証明で多くの中学生が手を止める本当の原因を整理する。合同条件の選定、補助線、論理の飛躍。これらに共通するのは「方針を組み立てる練習」が不足していること。そして丸暗記でしのいでも、図の向きが変わるだけで崩れることを体感してもらう。この章を抜けたとき、AIを使うことが「やってみたい選択肢」ではなく「やる以外にない必然」として腹落ちしている状態を作る。
1,3,図形で手が止まるのはセンスではない,"合同条件のどれを使うか迷う
補助線がどこに引けるか分からない
気付けば解答を丸暗記して終わり",図形の証明が来ると、手が止まっていないだろうか。合同条件のどれを使えばいいか迷う。補助線がどこに引けるか分からない。気付けば答えを丸暗記して、その場しのぎで終わる。これはセンスの問題じゃない。「方針を組み立てる練習」をしていないだけだ。教科書も先生も、解き方は見せてくれるけど、その解き方にどうたどり着くかという思考プロセスは暗黙のまま放置されている。だから自分で再現できない。そしてその練習は、AIを使えば一人でも回せる。
1,4,丸暗記は次の初見問題で必ず崩れる,"崩壊のトリガー:
図の向きが変わる
頂点の記号がA,B,CからD,E,Fへ変わる
余計な線が1本増える","丸暗記の最大の弱点はちょっとした変化に弱いことだ。図の向きが変わる、頂点の記号がA, B, CからD, E, Fに置き換わる、余計な線が1本増える。それだけでさっきまで解けていた問題が別物に見えてくる。定期テストでは通用しても、模試や入試の初見問題で必ず崩れる。記述式の評価でも、最終結論が合っていても根拠不足や論理飛躍で減点される。つまり丸暗記アプローチには明確な天井がある。仕組みと方針を理解する学習に切り替える必要がある。"
1,5,10分後に手にする3つの型,"この講座のゴール:
方針を立てさせるプロンプト
補助線を引かせるプロンプト
解答を添削させるプロンプト",この10分で、AIを「図形の専属コーチ」として使うための3つの型を渡す。1つ目は方針を立てさせる型。問題文からどの定理を選ぶか絞り込みの手順をAIに整理させる。2つ目は見えない補助線を引かせる型。補助線のパターンと狙いをAIから引き出す。3つ目は自分が書いた解答を添削させる型。論理の飛躍や対応順のミスをAIに採点官目線で指摘してもらう。終わる頃には頭の中で「次、何をAIに聞けばいいか」が像を結んでいる。始めよう。
2,6,章タイトルスライド,"AIは答えを出す機械ではなく壁打ち相手
AIの本質的な使い方をマインドセットレベルで切り替える",この章では、図形分野でAIをどう位置付けるかというマインドセットを切り替える。多くの人がAIに「答えを教えて」と聞いてしまう。これをやると脳は止まり、丸暗記と同じ結末に着地する。AIを「思考の伴走者」として使う心構え、塾の先生との補完関係、心理的安全性の活用までを腹落ちさせる。次の章で渡す3つのプロンプトの型は、ここで身につけた前提の上に乗る。土台を先に固める。
2,7,図形が苦手になる本当の原因,"解答に「たどり着き方」が書かれていない
教科書は完成形しか載せない
思考プロセスは暗黙のまま",そもそも、なぜ図形で手が止まるのか。答えはシンプルだ。「方針を立てる」という作業を誰も教えてくれないからだ。教科書は解答を載せている。先生は解き方を見せてくれる。でも「その解き方にどうやってたどり着くか」という思考プロセスは暗黙のまま放置されている。完成された証明だけを見せられても、どこから考え始めるか、どの条件に注目するか、なぜその合同条件を選ぶかは誰も明示しない。これが「図形は才能ゲー」という誤解を生む構造的な原因だ。
2,8,AIは答えの提供者ではなく壁打ち相手,"「証明を書いて」は脳を止める
「考え方のステップを教えて」は脳を動かす
主役は常にあなた",多くの人がAIに「この問題の答えを教えて」と聞いてしまう。これをやるとあなたの脳は考えることをやめてしまう。答えを書き写して終わり。記憶にも残らないし応用もできない。だからAIの使い方を180度変える必要がある。聞くのは答えじゃない。「考え方のステップ」だ。主役は常にあなた、AIは伴走者だ。問いを投げるのもあなた。手を動かすのもあなた。AIはあなたの思考が前に進むためのヒントだけを返す。この立ち位置を最初から守ることがAI学習の成否を分ける。
2,9,AIは24時間動く専属コーチ,"何度聞いても怒らない
納得するまで説明を変えてくれる
夜中でも休みでも稼働中",コーチは試合で代わりに戦ってくれない。でもあなたが迷ったとき、何度でも納得するまで一緒に考えてくれる。AIはこれを24時間やってくれる。塾の先生に同じことを5回聞くのは気が引けるが、AIには100回聞ける。この心理的安全性が学習の継続性を支える。同じ説明でピンとこなければ「別の例えで」と頼める。図で説明してほしければ「図解して」と頼める。日本語が難しければ「もっと易しく」と頼める。あなたのペースに完全に合わせてくれる相手は現実にはAI以外にいない。
2,10,塾とAIは競合ではなく補完関係,"先生: 長期的に癖を見抜く
AI: 時間外・夜中でも隣にいる
両者を併用するのが最強",ここで誤解しないでほしい。AIは塾や学校の先生の代わりじゃない。先生には「あなたのクセを長い時間かけて見抜いてくれる」という強みがある。AIにはそれができない。でも夜11時に証明で詰まったとき、隣にいてくれるのはAIだ。だから両者は競合じゃなく補完関係だ。先生の手が届かない時間帯の相棒として使う。授業で先生に教わり、家でAIと一緒に消化する。この組み合わせが独学の壁と集団授業の限界を同時に超える設計だ。AIは敵じゃない、先生の援軍だ。
