章,スライド番号,台本
0,1,この講座では、中学数学の関数分野をテーマに、AIを「見落としている情報を整理してくれる相棒」として使う思考法を身につける。対象は中学生で、AIに触ったことがなくても大丈夫だ。関数で「グラフや式の意味がつかめない」と感じた経験があるなら、この講座はまさにそこを突破するためのものになっている。見終わる頃には、関数問題を目の前にしたときにAIへ何をどう聞けばいいかを、自分の言葉で組み立てられる状態が手に入る。
1,2,この章では、関数でつまずく根本原因を整理する。意味を読まずに代入するクセ、独学で必ず起きる翻訳の見落とし、そして見落としを埋める相棒としてのAIの立ち位置。ここを腹落ちさせることが、この講座全体の土台になる。
1,3,関数って、ただの点の集まりだと思ってないか。教科書のグラフを読んで、式に代入して、答えを出す。手は動く。でも「このグラフ、何を語ってるの？」と聞かれた瞬間に止まる。文章題でxとyが出たら、何から手をつけていいかわからなくなる。原因は頭の悪さじゃない。グラフや式の「意味」を読む練習を省いてきただけだ。
1,4,関数でつまずくパターンで一番多いのは「意味を考えずに数字を代入するクセ」だ。y＝2x−3と言われたら、xに1や2を入れて、点を打ってグラフを描く。手は動く。でも「傾き2って何？切片−3って何？」と聞かれたら答えられない。意味を読まずに代入してきたからだ。
1,5,関数は本来、グラフ・式・文章題を相互に翻訳する単元だ。その翻訳を独学でやろうとすると必ずどこかで見落としが起きる。ベネッセの調査でも、中学生が数学で最初に大きくつまずく単元のひとつが関数だと報告されている。計算は解けるのに関数だけ苦手というパターンも多い。いつも原因は同じで、翻訳の見落としだ。
1,6,ここで登場するのがAIだ。AIは、あなたが見落としている情報を整理して言葉で返してくれる。「式から最初に何を読むべき？」と聞けば、読む順番と意味をセットで返す。何度聞いても嫌な顔ひとつしない。この「見落としを埋める相棒」こそ、関数攻略に必要な存在だ。この講座では、その相棒を使いこなすための思考法を渡す。
2,7,この章で扱うのはAIへの向き合い方の本質だ。計算機じゃなくて見落としの整理係、主役は自分でAIは壁打ち相手。このスタンスの切り替えができないと、どんなプロンプトも学びにつながらない。ここは関数攻略の思想部分になる。
2,8,勘違いしてほしくないのは、AIは計算機じゃないということだ。y＝2x＋3のxに5を入れたらいくつ、みたいな計算をAIにさせるのは関数学習の本筋からずれる。手を動かすこと自体は学習の入口にすぎず、ゴールは別にある。AIに頼むべき勉強はもっと別にある。
2,9,AIに頼むべき本当の勉強は、「あなたが見落としている情報を整理して返してもらう」ことだ。グラフのどこから読むかわからない、式の何が重要かわからない、文章題の何をすればいいかわからない。こういう「わからない」を言葉にしてAIに投げると、AIは見るべき場所を整理して返してくれる。
2,10,ここで大事なのは主語だ。AIに答えを教えてもらうんじゃない。自分で「何がわからないか」を考えて、自分で言葉を組み立ててAIに投げる。AIはその壁打ち相手であって主役じゃない。このスタンスが崩れると、AIは単なる答え製造機になって学びが止まる。関数を自走で解きほぐせる人と、AIに答えだけ出させてわかった気になる人の差は、いつもこのスタンスから生まれる。
2,11,では具体的に、何をどう聞けばいいのか。関数には関数専用の聞き方がある。情報整理・変化の視覚化・意図の翻訳、この3つだ。次の章で、それぞれを具体的なプロンプトと一緒に渡す。思想が頭に入ったあなたなら、そのまま使える道具として受け取れる。
3,12,この章で具体的な道具を3つ渡す。情報整理・視覚化・翻訳、それぞれにプロンプト例と使いどころがある。そして3つには使う順番がある。順番そのものが関数思考の設計図になっていることを、この章で体に入れてほしい。
