章,スライド番号,スライドタイトル,スライド用テキスト,ミニ台本
1,1,講座名,AIに教材を持たせる,この動画から、自分専用の学習Botを作っていくための「考え方」の話を始めます。今日のゴールは、なぜ自分の教材を読み込ませたAIが必要なのか、NotebookLMとGemsはどう違う役割を担うのか、そしてソースに何を入れるかの判断軸、この3つを、自分の言葉で説明できるようになることです。手を動かす実演は次の動画でまとめてやります。今日は「なぜそうするのか」の腹落ちに全力で振り切ります。操作の前に思想を固めておくと、次の動画の一つひとつの動きに、全部意味がついてきます。逆にここが曖昧なまま手を動かすと、真似ているだけで、なぜそうするかが抜け落ちます。これから10分ちょっと、相棒の話を聞くつもりで、一緒に思想を固めにいきましょう。
1,2,章タイトルスライド,なぜ専属家庭教師をAIで作るのか,この章では、汎用AIに感じたことがある「合っているのに困る」という違和感を、まず言葉にします。そのうえで、AIが賢すぎるから逆に合わないという不思議な現象を、因果で解きほぐします。そして最後に、「AI選びじゃなくて、AIに何を持たせるかで差がつく」という、この講座全体を貫く発想の転換にたどり着きます。ここを腹に落とせるかどうかで、このあとの2章と3章の効き方がまったく変わります。抽象的な話にならないように、自分の経験を1つ思い出しながら聞いてみてください。「あの時ちょっと困ったな」という実感があればあるほど、この章の着地は刺さります。問題の正体が見えたとき、はじめて解決策が自分のものとして入ってきます。まずは「敵」の正体から、一緒に言葉にしていきましょう。
1,3,合っているのに困る、が本当の敵,"答えは正解
でも教科書・先生・参考書とやり方が違う
AIが賢すぎて、あなたの文脈に合わない",分からない問題をAIに聞いたら、答えは返ってくる。合ってはいる。でも、学校で習った解き方と違う。参考書とも違う。別解が2つも3つも並んで、どれを信じればいいか分からなくなる。——間違っているから困るんじゃないんです。合っているのに、今のあなたに合っていないから困る。ここが本当の敵です。原因はAIの性能じゃありません。AIは賢すぎて、あなたが今どの教科書を使って、どの先生に習って、どこでつまずいているかを知らないまま、優等生の答えを返してくる。だから噛み合わない。定期テストや入試が近づいてくるほど、このズレはじわじわ効いてきます。AI活用の本当の難しさは、答えの正しさではなく、文脈のズレをどう消すかにあります。
1,4,差がつくのは「何を持たせるか」,"AI選びから、AIに持たせるものを選ぶ側へ
教材を先に渡すだけで、AIは相棒に変わる",ここで発想を入れ替えましょう。差がつくのは「どのAIを選ぶか」じゃない。「AIに何を持たせるか」です。あなたの教科書、ノート、先生が配ったプリント——これを先に渡してから聞く。それだけで、AIはあなたの歩幅で教えてくれる相棒に変わります。この発想の転換が、この講座全体を貫く1本の軸です。次からは、この「持たせる」をどう実現するか、道具と設計の話に入ります。作る前に「なぜそうするか」が腹に落ちていないと、操作を真似するだけで終わってしまう。だから今日は、手を動かす前に、まず道具の正体から一緒に押さえにいきましょう。選ぶ側から、渡す側へ。ポジションを1つ上げる感覚で、ついてきてください。
2,5,章タイトルスライド,NotebookLMの本質,この章では、今日使う道具「NotebookLM」の正体を、例え話と仕組みと1行コピーの3つで腹落ちさせます。細かい機能の話より、「何をする道具なのか」を感覚で掴むことが狙いです。汎用AIとの違いを1行で言えるようになれば、この章は卒業。その1行を、あとの章ぜんぶで思い出すことになります。例え話→仕組み→強みと限界、の順で組み立てていきます。ここでポイントになるのは、万能さで勝負しているAIではないということ。範囲の狭さが、逆に勉強という文脈ではいちばん効くんです。そのパラドックスを、このあと3枚で解きます。
2,6,世界を知る天才と机上の助手,"汎用AIは世界中の本を暗記した天才
NotebookLMは渡した数冊だけを暗記した机上の助手",ここで使う道具がNotebookLMです。名前くらいは聞いたことがある人も多いはず。ひとことで言うと「あなたが渡した資料しか見ないAI」です。例えます。汎用AIは、世界中の図書館を暗記している天才。何でも知ってる。でも、あなたの教科書のページをめくりながら答えてくれるわけじゃない。一方でNotebookLMは、あなたが渡した数冊の本だけを、完璧に暗記して机の上に置いている助手です。知識量では天才に負ける。でも、机の上の本のことは、どのページに何が書いてあるか完璧に分かっている。勉強で本当に欲しいのは、どっちの存在か。考えるまでもありませんよね。この非対称性が、今日の講座全体の核になります。
2,7,噓が少ないのはソース縛りだから,渡した資料だけで応答／情報源の印でソース元を特定／範囲外は資料にありませんと返す,仕組みはシンプルです。資料をアップロードする。NotebookLMはその資料だけを読んで答える。答える時には「この答えは、渡された資料のこの部分が根拠です」と情報源の印で示してくれる。資料に書かれていないことを聞くと「資料にありません」と正直に返す。——噓が少ない。これが最大の強みです。勉強で噓が混ざると、一番怖いですよね。覚え直しが発生するだけじゃなくて、テスト本番で間違った知識を書いてしまう。NotebookLMは、その噓の入り口を構造的に塞いでいる道具だと思ってください。根拠を追える安心感は、他のAIではなかなか得られないものです。答えを信じていいかどうかを、自分の目で確かめられる。この一点だけでも、勉強には本当に向いています。
2,8,汎用AIは世界、NotebookLMは教材を知る,"強みはゼロ幻覚ではなく、範囲限定と根拠追跡
渡す教材の質が、答えの質を決める",一点だけフェアに言います。噓がゼロではありません。資料の書き方が曖昧だと、あいまいな答えが返ります。渡す教材の質が、そのまま返ってくる答えの質になる。だからこそ、次の章で「何を渡すか」の話をする価値があるんです。この章の結論は1行です。「汎用AIは世界を知っている。NotebookLMは、今のあなたの教材を知っている」。この1行を頭に入れたまま、次の設計の話に進みましょう。強みは万能さじゃなくて、範囲を絞ったときの精度と、根拠を追える透明さ。この2つだと覚えてください。そして、この2つの強みを最大化する責任は、道具じゃなくてあなたの手元にあります。そこが、次の章の出発点になります。
3,9,章タイトルスライド,ソース選びと役割分担の設計思想,ここから設計の話です。NotebookLMの力を引き出すカギは、プロンプトよりも、実はソース選びです。ここをブラさないと、次の動画の実演は驚くほどスムーズに進みます。加えてもう一つ大事な話をします。NotebookLM単体では、実は「専属家庭教師」は完成しません。その穴を埋めるのがGemsという仕組み。この2つを分けて設計する発想が、この章のゴールです。ソース選び→別事例（英単語）→役割分担、の順でいきます。少し密度の高い章ですが、ここを通ると、次の動画で迷う要素がほぼなくなります。ここが今日のエンジンルームです。
3,10,入れる／入れないの2段階で判断する,"入れるのは授業ノート・プリント・板書・今の教科書の該当章
入れないのは関係ない単元・古いノート・別参考書",最大のカギはソース選びです。覚え方は2つだけ。入れるか、入れないか。入れるのは、あなたの一次情報。授業ノート、配布プリント、先生の板書、今使っている教科書の該当章。これらは、今のあなたの学習状況に最もマッチした教材です。先生の言い回しや、授業の順番や、テスト範囲の空気ごと入っています。逆に入れないのはノイズになる資料。関係ない単元、解き方が違う別の参考書、去年の古いノート、文字がかすれた画像PDF。たくさん入れれば賢くなる、は逆です。狭く、深く、今の範囲に合わせる。これが設計の基本姿勢だと覚えてください。迷ったら、「これは今の自分の授業に直結するか？」の一問に答えてから、入れるかどうかを決めましょう。
