章,スライド番号,スライドタイトル,スライド用テキスト,ミニ台本
0,1,講座名,"関数をAIで解きほぐす（やり方）
スマホ料金プランを題材に、AIと3ラウンドのキャッチボールを追体験する",この講座では、前講座で手に入れた3つのプロンプト聞き方を使い、スマホ料金プランを題材にAIと連続した対話を追体験する。対象は中学生で、前講座「関数をAIで攻略する（考え方）」を先に見ておいてほしい。関数の思考法だけ知っていても教室で振れない、と感じた人に最適な1本だ。見終わる頃には、自分の関数問題にも同じプロセスをそのまま適用できる状態に持ち上がっている。
1,2,章タイトルスライド,なぜ対話のプロセスを追体験するのか,この章では、なぜ単発質問ではなく連続対話の追体験が必要なのかを整理する。聞き方を知っただけでは振れないという事実、単発と連続キャッチボールの破壊的な差、そして自走の前にプロセスを丸ごと見ておく効率。この動画の存在意義そのものを腹落ちさせる章になる。
1,3,聞き方は頭に入った、でもまだ振れない,"現状の壁
・前講座で3つの聞き方（情報整理・視覚化・翻訳）を得た
・でも「知っている」と「使える」は別物
・レシピを読んだだけでは包丁が持てない",前講座で、関数をAIで攻略するための3つの聞き方を手に入れた。情報整理、変化の視覚化、意図の翻訳。頭には入った。でも正直に言うと、聞き方を知っただけでは関数は解けるようにならない。料理のレシピを読んだだけで包丁が持てないのと同じだ。聞き方を「使える道具」にするには、聞き方が実際に動いている教室を一度見ておく必要がある。
1,4,単発質問と連続キャッチボールは別物,"対話の深さの差
・単発で1問聞いて終わりは「表面の理解」で止まる
・追撃を重ねて3つの聞き方を回すと「腹落ち」まで届く
・同じAIでも使い方で学びの深さが段違い",AIとの対話は1回投げて終わりじゃない。情報整理で引き出し、返ってきた答えに視覚化で角度を変え、最後に翻訳してもらう。この連続したキャッチボールを回せるかどうかが、自走できる人と止まる人の分かれ目になる。単発で1問聞いて終わるのと、追撃を入れて3つの聞き方を全部使い切るのでは、同じAIに聞いても返ってくる学びの深さがまるで違う。
1,5,先に追体験してから自走する方が圧倒的に早い,"この動画の役割
・3つの聞き方をフル回転させる対話を全部見せる
・AIの画面の前に座っている感覚で追体験
・見終わった頃には「自分でもやれる」が残る",キャッチボールを自分で回す前に、一度、プロセスを丸ごと見ておく価値は大きい。いきなり自分で始めるより、まず1回追体験してからの方が、自走の成功率が跳ね上がる。この動画の役割はそこにある。3つの聞き方をフル回転させた対話を、スライド上で最初から最後まで見てもらう。AIの画面の前に座っている感覚で見てほしい。
2,6,章タイトルスライド,題材と対話ルールの準備,この章では、キャッチボールに入る前の準備を整える。題材はスマホ料金プラン問題、そして対話を学びに変えるための3つのルールをセットする。土台が揃った状態で、次の章から対話本体に入る流れだ。
2,7,題材はスマホ料金プラン,"選んだ理由
・ほぼ全員が自分のスマホで知っている
・基本料金＝切片、1GB単価＝傾き、が自然に対応
・「月◯円以内」の条件が文章題翻訳にそのまま使える",今日使うのはスマホの料金プラン問題。なぜこの題材か。3つ理由がある。ほぼ全員が自分のスマホで知っていること、基本料金と従量課金が切片と傾きに自然に対応すること、「月いくら以内」という条件が文章題の意図翻訳にそのまま使えること。関数の主要要素が全部自然に登場する、ちょうどいい題材だ。
2,8,今日解く問題とゴール,"題材の問題
「基本料金1000円 ＋ 1GBごとに200円」
式を立て、月5000円以内なら何GBまで使えるかを対話で解きほぐす

ゴール:式・グラフ・文章条件を行き来できる状態",問題はこうだ。「基本料金が1000円、1ギガ使うごとに200円加算される。使ったギガ数をx、料金をyとしたときの式は？さらに月5000円以内に収めたい場合、何ギガまで使える？」これが今日解きほぐす問題。ゴールはシンプルで、AIと対話しながら式・グラフ・文章条件を自分で翻訳し切る状態に持っていくことだ。
2,9,対話を学びに変える3つのルール,"キャッチボールのルール
1. 質問は自分の言葉で投げる（丸投げ禁止）
2. 返答に必ず1回は追撃を入れる
3. 対話の最後に自分の言葉で要約する",対話を学びに変える3つのルールを渡しておく。ルール1、質問は自分の言葉で投げる。問題を丸ごとコピペしてAIに投げるのは禁止だ。返ってくるのが完成された解答だけになって、学びがゼロになる。ルール2、返ってきた答えには必ず1回追撃を入れる。「具体的には？」「他のパターンでは？」で掘り下げる。この追撃を省くと、理解が表面で止まる。ルール3、対話が終わったら自分の言葉で要約する。短くていい。「傾きは1GBの単価、切片は基本料金」くらいの一行でいい。要約しないと、翌日には消える。
2,10,準備完了、次章から対話本体,"揃った土台
・題材：スマホ料金プラン問題
・ゴール：式・グラフ・条件の相互翻訳
・ルール：自分の言葉／追撃／要約

「自分ならどう聞くか」を頭の中で並走させると定着度が倍",題材、ゴール、ルール。ここまでが揃った状態で、次の章から3つの聞き方を順番に発動していく。見ながら「自分ならどう聞くか」も頭の中で並走させてほしい。スライドの中の質問と自分の質問を比べて、違いがあったらなぜかを考える。それだけでこの章で見るものの定着度が倍になる。
3,11,章タイトルスライド,AIと3ラウンドのキャッチボール,この章が今日の心臓部分だ。ラウンド1は情報整理、ラウンド2は視覚化、ラウンド3は翻訳。各ラウンドで「最初の質問」と「追撃」をセットで見せていく。見終わる頃には、対話のリズムが体に入っている状態を目指す。
3,12,3ラウンドの全体像,"ラウンド構成
・ラウンド1 情報整理：傾きと切片の意味を読む
・ラウンド2 視覚化：極端なケースで動きを掴む
・ラウンド3 翻訳：「月5000円以内」をグラフに変換",3ラウンドの全体像を先に伝える。ラウンド1は情報整理。y＝200x＋1000の傾きと切片の意味をスマホ料金プランの文脈で読む。ラウンド2は視覚化。基本料金を極端に振って、傾きと切片の動きを体で掴む。ラウンド3は文章条件の翻訳。「月5000円以内」という条件をグラフ上の位置と数式に翻訳する。3ラウンド回し終わったとき、答えと理由が同時に手に入っている状態になる。
3,13,ラウンド1：情報整理の最初の一投,"最初の質問
「y=200x+1000という式から最初に読むべき2つの情報は何？どうしてその2つが大事なのか、スマホ料金プランの文脈で教えて」

→ AIは「傾き200=1GB単価」「切片1000=基本料金」と返す",ラウンド1、情報整理。最初の質問はこう投げる。「y＝200x＋1000という式から最初に読むべき2つの情報は何？どうしてその2つが大事なのか、スマホ料金プランの文脈で教えて」。AIは、傾き200が1GBあたりの単価、切片1000が基本料金、と返してくれる。文脈を指定したから、抽象的な数学用語じゃなくスマホ料金の言葉で整理してくれる。
3,14,ラウンド1：追撃で意味を立体にする,"追撃の質問
「じゃあ傾きが0だったらどんな料金プラン？切片が0だったら？」

→ 極端ケースで傾き=従量単価、切片=固定費という意味が立体化",ここで終わらせない。追撃。「じゃあ傾きが0だったらどんな料金プラン？切片が0だったら？」AIは、傾き0なら使っても使っても料金が変わらない完全定額、切片0ならギガに完全比例する従量制と返す。極端なケースを振るだけで、傾きと切片の意味が一気に立体的になる。単にラベルを知るのと、動きの中で意味を掴むのでは全く違う。追撃1発で情報整理の威力が倍になる。
3,15,ラウンド2：視覚化の最初の一投,"最初の質問
「もし割引クーポンで基本料金が-500円になったらグラフはどう動く？坂道に例えて教えて」

→ AIは「坂道の出発点が地面より下から始まる」と返す",ラウンド2、視覚化。「もし割引クーポンで基本料金が−500円になったらグラフはどう動く？坂道に例えて教えて」。AIは、グラフ全体が下に500下がる、坂道の出発点が地面より下から始まる、と返してくる。坂道という具体例を指定したから、言葉が抽象的な平行移動じゃなく身体感覚に変換されて返ってくる。
3,16,ラウンド2：追撃で極端ケースを振る,"追撃の質問
「逆に、使っても使っても料金が変わらないプランだったら？」

→ 傾き0=水平な線=地面と平行な坂道、と動きが体で入る",追撃。「逆に、使っても使っても料金が変わらないプランだったら？」AIは傾きゼロで水平な線、地面と平行な坂道と返す。極端ケースを振るだけで、傾きと切片の動きが完全に体感できる。比例定数がプラスのとき・マイナスのとき・ゼロのとき、どう動くかが頭の中でアニメーションになる。視覚化の聞き方は、身近な例えと極端ケースの組み合わせで一番刺さる。
3,17,ラウンド3：翻訳の最初の一投,"最初の質問
「月の料金を5000円以内に収めたい、はこのグラフのどこを指してる？」

→ AIは「y=5000の水平線を引き、交点までのxが条件を満たす範囲」と返す",ラウンド3、翻訳。「月の料金を5000円以内に収めたいという条件は、このグラフ上ではどこを指してる？」AIは、y＝5000の水平線を引いて、その線とグラフが交わるxの値までが条件を満たす範囲、と返してくる。言葉の条件が、グラフ上の「水平線と交点」という具体的な位置に翻訳された瞬間だ。これで文章題が絵に変わる。
3,18,ラウンド3：追撃で数式まで落とす,"追撃の質問
「交点のxはどう求めるのが一番早い？」

→ 「5000=200x+1000」をxで解く → x=20
→ 月20GBまで使える + 理由まで全部説明できる状態",追撃。「交点のxはどう求めるのが一番早い？」AIは、5000＝200x＋1000をxについて解けばいい、と返す。自分で計算するとx＝20。月20GBまで使えると出る。大事なのは、答えの数字より「なぜその答えになるのか」が全部自分の言葉で説明できる状態になっていることだ。y＝200x＋1000は料金の式、切片1000は基本料金、y＝5000は条件の水平線、交点のxが答え。この翻訳の鎖が通ったことが、3ラウンドの勝利だ。
4,19,章タイトルスライド,次の一手と、あなたの番,最後の章だ。3ラウンドで手に入れたものの整理、対話を残す次の一手（NotebookLM）、そしてあなた自身が今日やる1つのアクション。ここまで揃えば、関数は「読めないパズル」から「読みにいくパズル」に変わっている。
4,20,3ラウンドで手に入れたもの,"得られたもの
・答え：月20GBまで使える
・理由：式・グラフ・条件の翻訳が全部通った
・再現性：どの関数問題でもこの聞き方で解きほぐせる",3ラウンドのキャッチボールで手に入れたものを整理する。答えは20GBまで、というだけじゃない。そこに至る式・グラフ・条件の翻訳の鎖が全部通った。そしてこの3ラウンドの聞き方は、関数のどんな問題にも再現できる。答えと理由と再現性が、同時に手に入った状態になっている。これが関数を解きほぐすということだ。
4,21,対話を残す仕組みとNotebookLMという次の一手,"自走サイクルの完成条件
・対話を残さないと1週間で消える
・NotebookLMに貼れば自分専用の関数教材になる
・深掘りは別講座「NotebookLM編」へ",ただし、このままだと1週間後にはほぼ消える。解決策はシンプルで、対話を検索できる形で残すこと。Google提供のNotebookLMというツールが相性がいい。自分がアップした資料だけをソースに答えてくれるから、過去の自分の対話を次の問題に再利用できる。深掘りは別講座「NotebookLM編」に渡してあるので、興味があればそちらに進んでほしい。
4,22,今日やるのは1つだけ,"今日のアクション
・関数の問題を1つだけ選ぶ
・情報整理のプロンプトをGeminiに投げる
「式から最初に読むべき情報は何？どうして大事？」
・そこから1回、対話を回す",ここからはあなたの番だ。やることは1つだけでいい。手元にある関数の問題を1つ選ぶ。定期テスト範囲でも、宿題でも、教科書の例題でも何でもいい。Geminiを開いて、情報整理のプロンプトを投げる。「この問題の式から最初に読み取るべき情報は何？どうしてそれが大事なの？」これだけ。ピンとこなかったら視覚化の聞き方で坂道に例えてもらう。自分なりに掴めたら翻訳の聞き方で条件をグラフに直してもらう。1回通すだけで「あ、自分でもやれるな」が必ず残る。
4,23,全力でいってらっしゃい,"関数の景色は変わった
・代入ゲーから意味ゲーへ
・読めないパズルから読みにいくパズルへ
・主役は最初から最後まであなた",関数は、意味を読まずに代入だけしていると、いつまでも読めないパズルのままだ。でも3つの聞き方と対話のルールを手にしたあなたは、もう読みにいける側にいる。この違いは3ヶ月後に圧倒的な差になって返ってくる。AIは最強の相棒だけど、主役は最初から最後まであなただ。迷ったらこの動画と前講座を何度でも見返してくれていい。完璧を目指さずに、まず1回通すことだけ意識してほしい。全力でいってらっしゃい。
