章,スライド番号,スライドタイトル,スライド用テキスト,ミニ台本
0,1,講座名,"・先生に教材を持たせる
・− NotebookLM編 −",AIに勉強を聞いても、答えがズレて困った経験はないか。本講座では、NotebookLMを使って、自分の教材だけを知っている専属家庭教師AIを自分で組み立てる設計思想を届ける。画面操作の実演は行わない。なぜそうするのか、何を渡すのか、その判断軸にフォーカスする。見終わる頃には、汎用AIとソース限定AIの違いが腹落ちし、自分の科目を一つ選んでノートを集めたくなっているはずだ。
1,2,章タイトルスライド,"・「AIに聞いたのに、答えが使えなかった」の正体
・汎用AIの限界に気づく",まずは、多くの人がAIに対して感じているモヤモヤの正体を言葉にする。この章を通じて、AIが悪いのではなく、選び方がズレていただけ、という視点転換を起こす。
1,3,「そんな解き方、授業で習ってない」という違和感,"・AIは賢いはずなのに、返ってきた答えが「そのまま使えない」ことがある
・数学：教科書と違う解き方で説明された
・英単語：習っていない文法で例文を出された
・歴史：試験範囲外の時代まで語り始めた
・この違和感、AIが悪いわけじゃない",ちょっと思い出してほしい。数学の問題をAIに投げたら、授業で習っていない解き方で説明された経験。英単語を調べたら、教科書にない文法で例文を出された経験。歴史の用語を聞いたら、試験範囲外の時代まで語り始めた経験。AIは賢いはずなのに、なぜか「そのまま使えない答え」が返ってくる。この違和感、実はAIが悪いわけじゃない。
1,4,汎用AIは「世界中の知識」から気まぐれに答える,"・ChatGPT・Geminiは、世界中の本・論文・Webの情報を丸ごと暗記
・教科書の範囲も、大学レベルの解法も、全部「知識」としてひとまとめ
・どこから答えを引っ張るかは、AIの気まぐれ
・結果：自分の学習範囲を知らないAIに質問していた",汎用AI、つまりChatGPTやGeminiは、世界中の本・論文・Webの情報を全部まとめて暗記している。あなたが持っている教科書のページも、大学レベルの解法も、全部ひとまとめに「知識」として持っている。だから聞けば何でも答える。ただ、どこから答えを引っ張るかはAIの気まぐれだ。つまりあなたは、自分の学習範囲を知らないAIに質問していた、ということ。
1,5,欲しいのは「あなたの教材だけを知っているAI」,"・「使い方が悪い」でも「AIが賢くない」でもない
・道具の選び方そのものがズレていただけ
・必要なのは、世界中の知識を持つAIじゃない
・あなたの教材の範囲だけを、完璧に知っているAI
・この視点が、今日から変わる出発点",これは「聞き方が悪い」でも「AIが賢くない」でもない。道具の選び方そのものがズレていた、という話だ。欲しいのは、世界中の知識を知っているAIじゃない。あなたの教材の範囲だけを、完璧に知っているAIだ。この視点に切り替わると、今日から触れるNotebookLMが、別世界の道具に見えてくる。
2,6,章タイトルスライド,"・NotebookLMは「机の上に本だけを置いた助手」
・ソース限定AIの正体",汎用AIとは仕組みが違う。NotebookLMの本質を、たった一つの例え話で腹落ちさせる。
2,7,Gemini・ChatGPTは「世界中の図書館を暗記した天才」,"・何を聞いても、どこかの本に書いてあった答えを返してくれる
・頼もしい。ただし、どの本から答えを出すかは選びきれない
・→ 自分の教材と違う本から答えが来る可能性が常にある",まず、汎用AIを例えよう。Gemini や ChatGPT は、世界中の図書館を丸ごと暗記している天才だ。何を聞いても、どこかの本に書いてあった答えを返してくれる。頼もしい。ただし、どの本から答えを出すかは、選びきれない。結果、自分の教材と違う本から答えが来る可能性が常にある。
2,8,NotebookLMは「机の上の数冊だけを暗記した助手」,"・あなたが渡した本（ソース）だけを、完璧に記憶
・机の上の本のことは、どんな細かい話でも答える
・机にない本の話は、一切しない
・「資料にはありません」と答える、それが仕様",一方、NotebookLMはまったく別物だ。あなたが渡した数冊の本だけを、完璧に暗記して机の上に置いている助手。机の上の本のことなら、どんな細かい話でも完璧に答える。ただし、机に置いていない本の話は、一切しない。「資料にはありません」と答える。これがNotebookLMの仕様だ。
2,9,範囲外を混ぜない仕様＝ハルシネーションが起きにくい,"・AIの困った性質「ハルシネーション」＝もっともらしい嘘をつく現象
・NotebookLMは答えの材料がソース内に限定される
・→ 教材と違う解き方が返ってくる事故が、構造的に起きにくい
・これは欠点じゃない、最大の強み",これは欠点じゃない。むしろ最大の強みだ。AIの困った性質に「ハルシネーション」という言葉がある。もっともらしい嘘をつく現象のことだ。NotebookLMは、答えの材料がソース内に限定されているので、教材と違う解き方が返ってくる事故が、構造的に起きにくい。ソース限定の仕様が、そのまま信頼性になっている。
2,10,引用元が見えるから、答えの裏取りができる,"・答えの横には「この部分は、渡した資料のここから来ました」が表示される
・どのソースのどの部分から出た答えか、追える
・つまり、AIの答えを自分で検算できる
・「教材だけを知っているAI」は、こういう仕組みで成立する",しかも、答えの横には「この部分は、渡した資料のここから来ました」という引用スニペットが出る。出典が見えるということは、自分で答えの裏取りができる、ということだ。AIが言ったことを鵜呑みにする必要がない。教材だけを知っているAIは、こういう仕組みで成立する。
